category,rank,id,nRMSE_joint,NSE_joint,nRMSE_tft,NSE_tft,nRMSE_diff
Top 5 Joint GRU+GP,1,LFU_29463384,0.23579082782740493,0.8604365884402522,0.148875,0.9446875005960464,
Top 5 Joint GRU+GP,2,LFU_31502019,0.3893948613292068,0.667458395054368,0.362875,0.7159999944269657,
Top 5 Joint GRU+GP,3,LFU_30360035,0.39494679511923897,0.6056645138513539,0.2604375,0.8058750070631504,
Top 5 Joint GRU+GP,4,LFU_26490031,0.4104110769268368,0.6024706264223891,0.17925,0.9169375039637089,
Top 5 Joint GRU+GP,5,LFU_33442484,0.4298801741335653,0.5732820342999151,0.4463125,0.5501874964684248,
Top 5 TFT global,1,LFU_38413441,25.951161663527483,-1996.8041749329645,0.1175625,0.9470000006258488,
Top 5 TFT global,2,LFU_30429666,0.4476822681687741,0.4168414057119844,0.1370625,0.9389999993145466,
Top 5 TFT global,3,LFU_37529019,4.462437157563677,-43.30847550718369,0.1380625,0.9473125040531158,
Top 5 TFT global,4,LFU_27381011,3.3366603632445297,-22.870304138283835,0.14325,0.950312502682209,
Top 5 TFT global,5,LFU_29463384,0.23579082782740493,0.8604365884402522,0.148875,0.9446875005960464,
Top 5 Closest,1,LFU_33442484,0.4298801741335653,0.5732820342999151,0.4463125,0.5501874964684248,0.016432325866434727
Top 5 Closest,2,LFU_31502019,0.3893948613292068,0.667458395054368,0.362875,0.7159999944269657,0.026519861329206806
Top 5 Closest,3,LFU_29463384,0.23579082782740493,0.8604365884402522,0.148875,0.9446875005960464,0.08691582782740492
Top 5 Closest,4,LFU_45453266,0.5524496900305902,0.46957624014765464,0.4489375,0.6707500070333481,0.1035121900305902
Top 5 Closest,5,LFU_30360035,0.39494679511923897,0.6056645138513539,0.2604375,0.8058750070631504,0.13450929511923898
