rmse_pooled_m,mae_pooled_m,rmse_mean_pw_m,rmse_median_pw_m,iqr_mean_pw_m,iqr_median_pw_m,nrmse_pw,n_wells,n_rows,tag
3.0315,1.5492,1.6962,0.5034,0.4039,0.325,1.168,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t118__hpo_sep_t118__predobstrain
3.0053,1.5297,1.6796,0.5046,0.4039,0.325,1.171,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t123__hpo_sep_t123__predobstrain
3.0,1.5259,1.6787,0.5007,0.4039,0.325,1.1714,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t102__hpo_sep_t102__predobstrain
2.9989,1.5254,1.6746,0.5034,0.4039,0.325,1.1714,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t111__hpo_sep_t111__predobstrain
3.0252,1.5428,1.6914,0.5044,0.4039,0.325,1.1714,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_hr_gesp_ind64_s2__predobstrain
3.0152,1.5385,1.6844,0.5081,0.4039,0.325,1.1734,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t104__hpo_sep_t104__predobstrain
3.0047,1.5265,1.6762,0.507,0.4039,0.325,1.1737,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t020_ni128_ps200_j1e-03__predobstrain
2.9765,1.5055,1.6589,0.5042,0.4039,0.325,1.1741,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t101__hpo_sep_t101__predobstrain
2.9824,1.5093,1.664,0.5032,0.4039,0.325,1.1742,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_hr_gesp_ind64_s3__predobstrain
2.9923,1.5186,1.6695,0.5064,0.4039,0.325,1.1742,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t042_ni128_ps200_j1e-03__predobstrain
2.9916,1.518,1.6727,0.5013,0.4039,0.325,1.1747,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t110__hpo_sep_t110__predobstrain
3.0028,1.5291,1.6801,0.5054,0.4039,0.325,1.1748,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t121__hpo_sep_t121__predobstrain
2.9941,1.5199,1.6747,0.5028,0.4039,0.325,1.1749,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t087__hpo_sep_t087__predobstrain
3.0173,1.5383,1.6878,0.5092,0.4039,0.325,1.1753,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t019_ni64_ps200_j1e-03__predobstrain
2.9881,1.5156,1.668,0.5049,0.4039,0.325,1.1758,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t113__hpo_sep_t113__predobstrain
2.9878,1.5131,1.669,0.5049,0.4039,0.325,1.176,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr_gesp__predobstrain
3.0144,1.5356,1.6842,0.5097,0.4039,0.325,1.1763,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t017_ni128_ps200_j1e-03__predobstrain
3.0084,1.5273,1.6832,0.5055,0.4039,0.325,1.177,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t097__hpo_sep_t097__predobstrain
2.9716,1.5012,1.6602,0.5021,0.4039,0.325,1.177,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t112__hpo_sep_t112__predobstrain
3.0213,1.5407,1.6895,0.5099,0.4039,0.325,1.1781,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t029_ni128_ps200_j1e-03__predobstrain
