trial,run_sig,status,objective,train_s,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr
1,gru_small_grid_v3_t001_seed40_full_merged,ok,0.2401268077999997,2264.105,240.032,2504.201,,0.2,192,4,0.00035
2,gru_small_grid_v3_t002_seed40_full_merged,ok,0.23029485217339535,917.702,234.875,1152.581,,0.2,160,5,0.0004
3,gru_small_grid_v3_t003_seed40_full_merged,ok,0.23707081770320948,864.043,270.35,1134.396,,0.2,160,4,0.0004
4,gru_small_grid_v3_t004_seed40_full_merged,ok,0.24284490377857257,2436.553,246.521,2683.077,,0.2,192,4,0.0004
5,gru_small_grid_v3_t005_seed40_full_merged,ok,0.24314992802655108,2726.37,285.885,3012.259,,0.2,192,5,0.0003
6,gru_small_grid_v3_t006_seed40_full_merged,ok,0.23039487493551186,2456.273,243.807,2700.083,,0.2,192,4,0.0003
7,gru_small_grid_v3_t007_seed40_full_merged,ok,0.2207296491891021,2583.954,248.719,2832.676,,0.2,192,5,0.0004
8,gru_small_grid_v3_t008_seed40_full_merged,ok,0.2287130608242336,1197.197,277.612,1474.813,,0.2,160,5,0.0003
9,gru_small_grid_v3_t009_seed40_full_merged,ok,0.22553491627053396,932.327,228.983,1161.314,,0.2,160,5,0.00035
10,gru_small_grid_v3_t010_seed40_full_merged,ok,0.23752296387781882,1269.823,233.786,1503.613,,0.2,160,4,0.0003
11,gru_small_grid_v3_t011_seed40_full_merged,ok,0.23935953880190572,1206.734,273.177,1479.914,,0.2,160,4,0.00035
12,gru_small_grid_v3_t012_seed40_full_merged,ok,0.24691731444651413,3997.258,287.424,4284.685,,0.2,192,5,0.00035
