run_number,objective,train_s,trained_epochs,NSE_weighted_mean,NSE_mean,NSE_weighted_mean_h13,NSE_mean_h13,NSE_h16,RMSE_weighted_mean,RMSE_mean,RMSE_weighted_mean_h13,RMSE_mean_h13,RMSE_h16,MAE_weighted_mean,MAE_mean,MAE_weighted_mean_h13,MAE_mean_h13,MAE_h16,layers,hidden,dropout,lr,batch_size,revin,lr_scheduler,hpo_name,trial,run_sig
1,0.2428449037785725,2413.864,14.0,0.8425256838387546,0.85580777392784,0.7712787753354527,0.7745846578124786,0.7575100340265488,0.0676344698492347,0.06423346288786726,0.08429196264185658,0.08374903804232073,0.0867861071262909,0.05266984766523903,0.049822621402286354,0.06689011460029488,0.06633235933460715,0.06926387109797755,4.0,192.0,0.2,0.0004,4096,False,False,gru_small_grid_v2,12.0,gru_small_grid_v2_t012_seed40_full_merged
2,0.2428449037785725,2429.576,14.0,0.8425256838387546,0.85580777392784,0.7712787753354527,0.7745846578124786,0.7575100340265488,0.0676344698492347,0.06423346288786726,0.08429196264185658,0.08374903804232073,0.0867861071262909,0.05266984766523903,0.049822621402286354,0.06689011460029488,0.06633235933460715,0.06926387109797755,4.0,192.0,0.2,0.0004,4096,False,False,gru_small_refine_v4,5.0,gru_small_refine_v4_t005_seed40_full_merged
3,0.0676344698492347,,14.0,0.8425256838387546,0.85580777392784,0.7712787753354527,0.7745846578124786,0.7575100340265488,0.0676344698492347,0.06423346288786726,0.08429196264185658,0.08374903804232073,0.0867861071262909,0.05266984766523903,0.049822621402286354,0.06689011460029488,0.06633235933460715,0.06926387109797755,4.0,192.0,0.2,0.0004,4096,False,False,,,in52_out16_ep50_bs4096_seed40_full_merged_r0_s0_spf0p8_sc20_ss42
4,0.2428449037785725,2436.553,14.0,0.8425256838387546,0.85580777392784,0.7712787753354527,0.7745846578124786,0.7575100340265488,0.0676344698492347,0.06423346288786726,0.08429196264185658,0.08374903804232073,0.0867861071262909,0.05266984766523903,0.049822621402286354,0.06689011460029488,0.06633235933460715,0.06926387109797755,4.0,192.0,0.2,0.0004,4096,False,False,gru_small_grid_v3,4.0,gru_small_grid_v3_t004_seed40_full_merged
5,0.2280871869618116,2313.834,17.0,0.8412904394384446,0.8548802320936884,0.7689254137995999,0.7721563150398151,0.7543364393040601,0.06932023768274936,0.06563495934546316,0.08705165028760915,0.08641354935318218,0.08981838517031716,0.054069316255295145,0.05095906897540732,0.06915890683114041,0.0686413219996861,0.07155419221688143,3.0,192.0,0.2,0.0003,4096,False,False,gru_small_grid_v2,3.0,gru_small_grid_v2_t003_seed40_full_merged
6,0.2280871869618116,2277.341,17.0,0.8412904394384446,0.8548802320936884,0.7689254137995999,0.7721563150398151,0.7543364393040601,0.06932023768274936,0.06563495934546316,0.08705165028760915,0.08641354935318218,0.08981838517031716,0.054069316255295145,0.05095906897540732,0.06915890683114041,0.0686413219996861,0.07155419221688143,3.0,192.0,0.2,0.0003,4096,False,False,gru_small_grid_v1,4.0,gru_small_grid_v1_t004_seed40_full_merged
7,0.2290918360569006,1271.852,21.0,0.8405670822678065,0.8535436820964102,0.7737095865862834,0.7765317403842836,0.7607775115823477,0.06911477771533586,0.06554715187766601,0.08613565636894076,0.08545988821556964,0.0892432373218716,0.054209371860810575,0.05119439965976781,0.06871405835906264,0.06818728013472124,0.0710868670310809,4.0,256.0,0.2,0.0002,4096,False,False,gru_small_grid_v2,5.0,gru_small_grid_v2_t005_seed40_full_merged
8,0.06982828600019557,,17.0,0.84002187907825,0.8528633421204289,0.7735267074779687,0.7764452001014666,0.760808750285663,0.06982828600019557,0.06632013035869047,0.08646042304304509,0.08590084839127735,0.08919195445390751,0.054869901225106994,0.05192073276548674,0.06901725907346386,0.06841060274091118,0.07168354513325216,4.0,192.0,0.2,0.0002,2048,False,False,,,in52_out16_ep50_bs2048_seed40_full_merged_r0_s0_spf0p8_sc20_ss42
9,0.2393595388019057,1194.489,20.0,0.8398871776445586,0.8525092674425998,0.775498738309877,0.7784073188285413,0.7623546718494715,0.07044842992501804,0.06703078326860759,0.08683393196882332,0.08621370045877375,0.08968420651249656,0.0549096314823358,0.05199179354877699,0.06903229377887866,0.06841257685448701,0.07166729551373106,4.0,160.0,0.2,0.00035,4096,False,False,gru_small_refine_v4,8.0,gru_small_refine_v4_t008_seed40_full_merged
10,0.2393595388019057,1206.734,20.0,0.8398871776445586,0.8525092674425998,0.775498738309877,0.7784073188285413,0.7623546718494715,0.07044842992501804,0.06703078326860759,0.08683393196882332,0.08621370045877375,0.08968420651249656,0.0549096314823358,0.05199179354877699,0.06903229377887866,0.06841257685448701,0.07166729551373106,4.0,160.0,0.2,0.00035,4096,False,False,gru_small_grid_v3,11.0,gru_small_grid_v3_t011_seed40_full_merged
