horizon,run,NSE,RMSE
1,gru_l1_in26_out4_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,-0.982,0.231
1,gru_l1_in26_out4_ep1_sample_spf0p5_sc5_ss42,-2798.952,12.955
1,gru_l1_in26_out4_ep1_sample_spf0p8_sc5_ss42,-11.805,0.901
1,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,-3.76,0.334
1,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p8_sc20_ss42,-23.626,0.823
1,gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,-0.414,0.221
1,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,0.511,0.124
1,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,0.513,0.129
1,gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,0.973,0.027
1,gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,0.968,0.03
8,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,-1.723,0.318
8,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p8_sc20_ss42,-6.834,0.485
8,gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,-0.243,0.23
8,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,0.185,0.18
8,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,0.065,0.183
8,gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,0.851,0.069
8,gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,0.843,0.071
16,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,-3.563,0.452
16,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p8_sc20_ss42,-8.705,0.653
16,gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,-1.116,0.297
16,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,-0.916,0.275
16,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,-0.861,0.268
16,gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,0.762,0.091
16,gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,0.735,0.093
