cluster,n_wells,mae_median,rmse_median,n_outliers,expected
0,21,2.620166242404211,2.6393369715735435,4,1.2663316582914572
10,27,2.372743358674501,2.3817830797881143,3,1.6281407035175879
1,9,1.6603063806988594,1.6610969111074345,0,0.542713567839196
19,7,1.4557912199698342,1.4578555400176436,0,0.4221105527638191
17,5,1.3394237857805198,1.4908011575589266,0,0.3015075376884422
7,14,1.180719582156042,1.1908759501413742,1,0.8442211055276382
2,4,1.0362180532544314,1.0412656570116532,0,0.24120603015075376
18,16,0.8863721121805967,0.8944173722791303,0,0.964824120603015
15,27,0.8271689417727266,0.8334853335574591,2,1.6281407035175879
13,5,0.7531645835352215,0.7810397548735512,0,0.3015075376884422
14,3,0.5516738576041935,0.5609963495103332,0,0.18090452261306533
12,6,0.43294544880343117,0.46340998514495124,1,0.36180904522613067
4,26,0.4034817754936024,0.4908981358273182,0,1.5678391959798994
16,6,0.40255209209698956,0.4174170250452734,0,0.36180904522613067
6,4,0.3940878722950931,0.40344630964881667,1,0.24120603015075376
9,4,0.3245848281545466,0.3384316794001373,0,0.24120603015075376
8,14,0.2242171026103001,0.27745917838920436,0,0.8442211055276382
3,1,0.1703939521041491,0.19858693577869524,0,0.06030150753768844
