run_dir,backend,RMSE,MAE,nRMSE,NSE_pooled,NSE_id_median
in52_out16_ep50_bs4096_stat1_seed9898_full_merged,custom_gp,5.134,2.552,0.202,0.945,
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t002__predobstrain,custom_gp,5.209706036276161,2.868013773408837,0.24186193297475217,0.9484885635808555,-45.87497925632553
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_oracle_diag_p0__predobstrain,custom_gp,5.216067154430713,2.8761506577581146,0.2421572495093182,0.9483626945295355,-48.723772056325885
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_oracle_diag_p100__predobstrain,custom_gp,5.216067154430713,2.8761506577581146,0.2421572495093182,0.9483626945295355,-48.723772056325885
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t001__predobstrain,custom_gp,5.658747737977149,3.175400785163622,0.2627088086340366,0.9392259902065495,-63.38155957813537
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t001__predobstrain,custom_gp,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t002__predobstrain,custom_gp,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t003__predobstrain,custom_gp,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t004__predobstrain,custom_gp,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t005__predobstrain,custom_gp,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t006__predobstrain,custom_gp,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t007__predobstrain,custom_gp,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t008__predobstrain,custom_gp,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t009__predobstrain,custom_gp,,,,,
TFT_in52_out16_ep50_bs4096_stat1_seed40_full_merged__gp_pytorch_matern32__predobstrain,custom_gp,,,,,
GRU_FCOV__in52_out16_ep5_bs4096_seed40_full_merged_spf0p8_sc20_ss42__predobstrain,sklearn_kriging,4.547634754653811,2.394558719584689,0.20985854889957595,0.9609874686602079,-20.164702365316348
TFT_in52_out16_ep50_bs4096_stat1_seed40_full_merged__predobstrain,sklearn_kriging,5.080923096944585,2.450851317395272,0.1994082848094421,0.9458582332388655,-18.920393445558513
in52_out16_ep50_bs4096_stat1_seed40_full_merged__smoke_nsecheck__predobstrain,sklearn_kriging,13.810965521140208,8.95843907791121,0.6530007338600572,0.6379887372800992,
