run_dir,backend,RMSE,MAE,nRMSE,NSE_pooled,NSE_id_median,source,trial,gru_run_sig,gp_run_tag,status,objective,hp.kernel_type,hp.isotropic,hp.pretrain_steps,hp.pretrain_lr,hp.max_pretrain_pts,hp.jitter
in52_out16_ep50_bs4096_stat1_seed9898_full_merged,custom_gp,5.134,2.552,0.202,0.945,,gp_metrics,,,,,,,,,,,
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t002__predobstrain,custom_gp,5.209706036276161,2.868013773408837,0.2418619329747521,0.9484885635808556,-45.87497925632553,gp_metrics,,,,,,,,,,,
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_oracle_diag_p0__predobstrain,custom_gp,5.216067154430713,2.876150657758114,0.2421572495093182,0.9483626945295356,-48.723772056325885,gp_metrics,,,,,,,,,,,
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_oracle_diag_p100__predobstrain,custom_gp,5.216067154430713,2.876150657758114,0.2421572495093182,0.9483626945295356,-48.723772056325885,gp_metrics,,,,,,,,,,,
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t001__predobstrain,custom_gp,5.658747737977149,3.175400785163622,0.2627088086340366,0.9392259902065496,-63.38155957813537,gp_metrics,,,,,,,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t001__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t002__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t003__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t004__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t005__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t006__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t007__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t008__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t009__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
TFT_in52_out16_ep50_bs4096_stat1_seed40_full_merged__gp_pytorch_matern32__predobstrain,custom_gp,,,,,,gp_metrics,,,,,,,,,,,
GRU_FCOV__in52_out16_ep5_bs4096_seed40_full_merged_spf0p8_sc20_ss42__predobstrain,sklearn_kriging,4.547634754653811,2.394558719584689,0.2098585488995759,0.960987468660208,-20.164702365316348,gp_metrics,,,,,,,,,,,
TFT_in52_out16_ep50_bs4096_stat1_seed40_full_merged__predobstrain,sklearn_kriging,5.080923096944585,2.450851317395272,0.1994082848094421,0.9458582332388656,-18.920393445558517,gp_metrics,,,,,,,,,,,
in52_out16_ep50_bs4096_stat1_seed40_full_merged__smoke_nsecheck__predobstrain,sklearn_kriging,13.810965521140208,8.95843907791121,0.6530007338600572,0.6379887372800992,,gp_metrics,,,,,,,,,,,
,,,,,,,gp_hpo,1.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t001,ok,-45.87497925632553,matern32,True,5.0,0.0001,1024.0,0.001
,,,,,,,gp_hpo,2.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t002,ok,-45.87497925632553,matern32,True,0.0,0.0005,1024.0,0.001
,,,,,,,gp_hpo,3.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t003,ok,-45.87497925632553,matern32,True,2.0,0.0005,1024.0,0.001
,,,,,,,gp_hpo,4.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t004,ok,-45.87497925632553,matern32,True,5.0,0.0005,1024.0,0.001
,,,,,,,gp_hpo,5.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t005,ok,-45.87497925632553,matern32,True,2.0,0.0001,1024.0,0.001
,,,,,,,gp_hpo,6.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t006,ok,-45.87497925632553,matern32,True,1.0,0.0005,1024.0,0.001
,,,,,,,gp_hpo,7.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t007,ok,-45.87497925632553,matern32,True,0.0,0.0001,1024.0,0.001
,,,,,,,gp_hpo,8.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t008,ok,-45.87497925632553,matern32,True,1.0,0.0001,1024.0,0.001
