run_number,objective,elapsed_s,model_prefix,RMSE_pooled,nRMSE,NSE_pooled,NSE_id_median,MAE_pooled,backend,n_inducing,pretrain_steps,jitter,max_pretrain_pts,variational_lr,hpo_name,trial,gru_run_sig,gp_run_tag,split,dir_name
1,4.504837920513921,,,4.504837920513921,0.20913825072023776,0.9614844978895883,-26.756218875554982,2.3223863555982756,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,cmp_gru_skl,predobstrain,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__cmp_gru_skl__predobstrain
2,0.2091761052750564,36.509,GRU_FCOV,4.505653307624716,0.20917610527505645,0.9614705538202402,-25.74902078371183,2.32471717201315,gpytorch,64.0,100.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v2,8.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t008,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t008__predobstrain
3,0.2092591032438235,36.949,GRU_FCOV,4.507441083871958,0.20925910324382352,0.9614399719313649,-23.96472366171986,2.3273242232146147,gpytorch,64.0,100.0,0.0001,512.0,0.01,gp_gpytorch_hpo_v3,9.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t009,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t009__predobstrain
4,0.2092872817455084,36.557,GRU_FCOV,4.508048048798252,0.20928728174550845,0.961429586366708,-25.265373587257038,2.3263331794481803,gpytorch,32.0,100.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v2,11.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t011,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t011__predobstrain
5,0.2093635062686606,37.974,GRU_FCOV,4.50968992502695,0.20936350626866063,0.9614014857888493,-25.13226533693863,2.326063448455267,gpytorch,64.0,100.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v3,11.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t011,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t011__predobstrain
6,0.2095011425737107,118.668,GRU_FCOV,4.512654611037728,0.2095011425737107,0.961350719509492,-24.618126673673217,2.327439427377614,gpytorch,32.0,100.0,0.001,128.0,0.01,gp_gpytorch_hpo_v2,1.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t001,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t001__predobstrain
7,0.2096625584419519,36.679,GRU_FCOV,4.516131508839644,0.20966255844195192,0.9612911397817339,-24.0447421666298,2.3294991740644266,gpytorch,128.0,100.0,0.001,128.0,0.01,gp_gpytorch_hpo_v2,7.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t007,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t007__predobstrain
8,0.2098477215573516,37.722,GRU_FCOV,4.520119922345354,0.20984772155735162,0.9612227382686871,-23.615733946867817,2.3278704851685994,gpytorch,128.0,100.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v2,2.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t002,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t002__predobstrain
9,0.2099616987306681,38.524,GRU_FCOV,4.522574990658592,0.20996169873066817,0.9611806036873113,-24.278378487654695,2.3303183758500343,gpytorch,64.0,100.0,0.001,128.0,0.01,gp_gpytorch_hpo_v2,5.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t005,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t005__predobstrain
10,4.547634754653811,,,4.547634754653811,0.20985854889957595,0.9609874686602079,-20.164702365316348,2.394558719584689,,,,,,,,,GRU_FCOV,in52_out16_ep5_bs4096_seed40_full_merged_spf0p8_sc20_ss42,predobstrain,GRU_FCOV__in52_out16_ep5_bs4096_seed40_full_merged_spf0p8_sc20_ss42__predobstrain
11,0.2139180087501883,42.432,GRU_FCOV,4.607793908479057,0.21391800875018838,0.9597038721035676,-29.27780849549332,2.347476564889141,gpytorch,64.0,200.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v3,3.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t003,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t003__predobstrain
12,0.2199673019904093,61.879,GRU_FCOV,4.738095684873418,0.21996730199040937,0.9573926152797658,-28.363256977686355,2.489578498439399,gpytorch,64.0,500.0,0.0001,512.0,0.001,gp_gpytorch_hpo_v3,10.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t010,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t010__predobstrain
13,0.2204491335731617,59.977,GRU_FCOV,4.748474337165903,0.2204491335731617,0.9572057505217749,-28.73308614566906,2.4955378727348347,gpytorch,64.0,500.0,0.0001,128.0,0.001,gp_gpytorch_hpo_v3,8.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t008,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t008__predobstrain
