tag,nRMSE,nRMSE_pw
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en3_rs42__predobstrain,0.12286237923182407,3.86184001651334
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en3_rs43__predobstrain,0.23677528159567204,4.294507250810348
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en3_rs44__predobstrain,0.11980238248543111,2.84434864153198
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en3_rs45__predobstrain,0.17872960109772526,3.8976793083964694
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en3_rs46__predobstrain,0.17178258955855033,4.189690692252145
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en4_rs42__predobstrain,0.12305534466654472,3.782411425651879
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en4_rs43__predobstrain,0.23776590488135246,4.262119112352444
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en4_rs44__predobstrain,0.11968302101491048,2.896187635984304
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en4_rs45__predobstrain,0.1784157803056015,3.7709141368118546
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en4_rs46__predobstrain,0.1721428477517967,4.243301960870095
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en5_rs42__predobstrain,0.12307552166735058,3.7695252564408577
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en5_rs43__predobstrain,0.23786860620374758,4.258377770712102
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en5_rs44__predobstrain,0.11967119630998094,2.8974329927235
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en5_rs45__predobstrain,0.17837861421969084,3.768309926920299
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__jitter_check_j1en5_rs46__predobstrain,0.17216485198674614,4.250670971200005
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__lr_check_v2_lr0p001_rs47__predobstrain,0.197615023017618,4.3524453363688655
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__lr_check_v2_lr0p001_rs48__predobstrain,0.12172004386158997,2.594941033439519
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__lr_check_v2_lr0p001_rs49__predobstrain,0.16639320010629466,3.7500666175415436
