trial,gru_run_sig,gp_run_tag,status,objective,elapsed_s,error,hp.backend,hp.gru_run_sig,hp.isotropic,hp.jitter,hp.kernel_type,hp.max_pretrain_pts,hp.n_inducing,hp.pretrain_steps,hp.use_float64,hp.variational_lr
1,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t001,ok,0.12845666301890027,233.583,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,512,64,200,True,0.01
2,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t002,ok,0.1338939390329263,142.258,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,512,64,200,True,0.001
3,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t003,ok,0.13263386614178238,111.498,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,128,64,200,True,0.01
4,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t004,ok,0.1286051800567478,122.075,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,512,64,100,True,0.001
5,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t005,ok,0.19719460064851707,111.058,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,128,64,200,True,0.1
6,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t006,ok,0.18860356655818467,173.602,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,128,64,500,True,0.01
7,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t007,ok,0.13914873361032065,183.002,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,512,64,500,True,0.01
8,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t008,ok,0.12225821344498043,174.146,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,128,64,500,True,0.001
9,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t009,ok,0.1364535773388059,103.188,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,512,64,100,True,0.01
10,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t010,ok,0.13834194990187354,183.309,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,512,64,500,True,0.001
11,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t011,ok,0.1278462559219919,101.07,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,128,64,100,True,0.01
12,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,gp_gpytorch_hpo_corrected_t012,ok,0.15925189524878372,105.753,,gpytorch,in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42,True,0.0001,matern32,512,64,100,True,0.1
