trial,gru_run_sig,gp_run_tag,status,objective,elapsed_s,error,hp.backend,hp.isotropic,hp.jitter,hp.kernel_type,hp.max_pretrain_pts,hp.n_inducing,hp.pretrain_steps,hp.use_float64,hp.variational_lr
1,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t001,ok,0.22763434386223622,126.108,,gpytorch,True,0.0001,matern32,512,64,200,True,0.01
2,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t002,ok,0.2372772119709849,43.952,,gpytorch,True,0.0001,matern32,512,64,200,True,0.001
3,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t003,ok,0.21391800875018838,42.432,,gpytorch,True,0.0001,matern32,128,64,200,True,0.01
4,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t004,ok,0.244672545462298,37.592,,gpytorch,True,0.0001,matern32,512,64,100,True,0.001
5,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t005,ok,0.3231631169596076,43.472,,gpytorch,True,0.0001,matern32,128,64,200,True,0.1
6,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t006,ok,0.2542384464610545,58.06,,gpytorch,True,0.0001,matern32,128,64,500,True,0.01
7,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t007,ok,0.23718336488542277,61.299,,gpytorch,True,0.0001,matern32,512,64,500,True,0.01
8,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t008,ok,0.2204491335731617,59.977,,gpytorch,True,0.0001,matern32,128,64,500,True,0.001
9,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t009,ok,0.20925910324382352,36.949,,gpytorch,True,0.0001,matern32,512,64,100,True,0.01
10,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t010,ok,0.21996730199040937,61.879,,gpytorch,True,0.0001,matern32,512,64,500,True,0.001
11,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t011,ok,0.20936350626866063,37.974,,gpytorch,True,0.0001,matern32,128,64,100,True,0.01
12,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t012,ok,0.2847362216470516,37.176,,gpytorch,True,0.0001,matern32,512,64,100,True,0.1
