trial,run_sig,objective,train_s,trained_epochs,NSE_weighted_mean_h1_16,NSE_mean_h1_16,RMSE_mean_h1_16,RMSE_weighted_mean_h1_16,NSE_h16_plotstyle,RMSE_h16_plotstyle,MAE_h16_plotstyle,status,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,hpo_name,hp.model.use_revin,hp.training.lr_scheduler.enabled
4.0,gru_small_grid_v3_t004_seed40_full_merged,0.2428449037785725,2436.553,14.0,0.8425256838387546,0.85580777392784,0.06423346288786726,0.0676344698492347,0.7575100340265488,0.0867861071262909,0.06926387109797755,ok,246.521,2683.077,,0.2,192.0,4.0,0.0004,gru_small_grid_v3,,
,in52_out16_ep50_bs4096_seed40_full_merged_r0_s0_spf0p8_sc20_ss42,,,14.0,0.8425256838387546,0.85580777392784,0.06423346288786726,0.0676344698492347,0.7575100340265488,0.0867861071262909,0.06926387109797755,,,,,,,,,,,
5.0,gru_small_refine_v4_t005_seed40_full_merged,0.2428449037785725,2429.576,14.0,0.8425256838387546,0.85580777392784,0.06423346288786726,0.0676344698492347,0.7575100340265488,0.0867861071262909,0.06926387109797755,ok,235.293,2664.872,,0.2,192.0,4.0,0.0004,gru_small_refine_v4,,
12.0,gru_small_grid_v2_t012_seed40_full_merged,0.2428449037785725,2413.864,14.0,0.8425256838387546,0.85580777392784,0.06423346288786726,0.0676344698492347,0.7575100340265488,0.0867861071262909,0.06926387109797755,ok,284.898,2698.765,,0.2,192.0,4.0,0.0004,gru_small_grid_v2,,
4.0,gru_small_grid_v1_t004_seed40_full_merged,0.2280871869618116,2277.341,17.0,0.8412904394384446,0.8548802320936884,0.06563495934546316,0.06932023768274936,0.7543364393040601,0.08981838517031716,0.07155419221688143,ok,258.577,2535.921,,0.2,192.0,3.0,0.0003,gru_small_grid_v1,,
3.0,gru_small_grid_v2_t003_seed40_full_merged,0.2280871869618116,2313.834,17.0,0.8412904394384446,0.8548802320936884,0.06563495934546316,0.06932023768274936,0.7543364393040601,0.08981838517031716,0.07155419221688143,ok,237.365,2551.202,,0.2,192.0,3.0,0.0003,gru_small_grid_v2,,
5.0,gru_small_grid_v2_t005_seed40_full_merged,0.2290918360569006,1271.852,21.0,0.8405670822678065,0.8535436820964102,0.06554715187766601,0.06911477771533586,0.7607775115823477,0.0892432373218716,0.0710868670310809,ok,234.376,1506.231,,0.2,256.0,4.0,0.0002,gru_small_grid_v2,,
,in52_out16_ep50_bs2048_seed40_full_merged_r0_s0_spf0p8_sc20_ss42,,,17.0,0.84002187907825,0.8528633421204289,0.06632013035869047,0.06982828600019557,0.760808750285663,0.08919195445390751,0.07168354513325216,,,,,,,,,,,
8.0,gru_small_refine_v4_t008_seed40_full_merged,0.2393595388019057,1194.489,20.0,0.8398871776445586,0.8525092674425998,0.06703078326860759,0.07044842992501804,0.7623546718494715,0.08968420651249656,0.07166729551373106,ok,265.878,1460.369,,0.2,160.0,4.0,0.00035,gru_small_refine_v4,,
11.0,gru_small_grid_v3_t011_seed40_full_merged,0.2393595388019057,1206.734,20.0,0.8398871776445586,0.8525092674425998,0.06703078326860759,0.07044842992501804,0.7623546718494715,0.08968420651249656,0.07166729551373106,ok,273.177,1479.914,,0.2,160.0,4.0,0.00035,gru_small_grid_v3,,
7.0,gru_small_refine_v4_t007_seed40_full_merged,0.2239427004401138,2274.317,14.0,0.8391842177363614,0.8520535405688879,0.06681565635020299,0.0702922186226019,0.7588477877396603,0.089111695105479,0.07152719105476942,ok,237.203,2511.522,,0.2,176.0,4.0,0.0004,gru_small_refine_v4,,
