trial,run_sig,status,objective,train_s,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,horizon,NSE,RMSE,MAE,rMBE,metrics_found
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,1.0,,0.1299608954953197,0.03026269588561042,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,2.0,,0.1446811001675585,0.040271810453680175,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,3.0,,0.15577588773479853,0.04803571286827729,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,4.0,,0.16637622213621742,0.055003725457517055,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,5.0,,0.17615369106179005,0.06126585649940307,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,6.0,,0.18507545410517076,0.06697446103453959,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,7.0,,0.19371883845088533,0.0723330781430827,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,8.0,,0.2019620350551065,0.07736231306990163,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,9.0,,0.20969255789942848,0.08192254811322543,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,10.0,,0.2169217894300717,0.08618322801355346,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,11.0,,0.22363932010456797,0.09019788588214935,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,12.0,,0.2298935779391265,0.0938056225617032,,True
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,13.0,,0.23565364402884137,0.09711911776995638,,True
