trial,run_sig,status,objective,train_s,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,NSE_mean_h1_16,NSE_h16,RMSE_h16
1,gru_small_grid_v2_t001_seed40_full_merged,ok,0.2303948749355118,2459.916,251.112,2711.056,,0.2,192,4,0.0003,0.9999280462885941,0.9999012952847777,0.23039487493551186
2,gru_small_grid_v2_t002_seed40_full_merged,ok,0.2651402611680664,1241.874,244.945,1486.823,,0.2,224,2,0.0002,0.9999145503952829,0.9998692795208449,0.26514026116806644
3,gru_small_grid_v2_t003_seed40_full_merged,ok,0.2280871869618116,2313.834,237.365,2551.202,,0.2,192,3,0.0003,0.9999331695877155,0.9999032626804284,0.22808718696181166
4,gru_small_grid_v2_t004_seed40_full_merged,ok,0.231139509458691,530.461,264.335,794.8,,0.2,256,2,0.0005,0.9999316418774498,0.9999006562279185,0.23113950945869108
5,gru_small_grid_v2_t005_seed40_full_merged,ok,0.2290918360569006,1271.852,234.376,1506.231,,0.2,256,4,0.0002,0.9999293214195552,0.9999024086114173,0.2290918360569006
6,gru_small_grid_v2_t006_seed40_full_merged,ok,0.2331020323876192,519.448,227.938,747.389,,0.2,224,3,0.0005,0.9999264970929794,0.9998989620812306,0.23310203238761926
7,gru_small_grid_v2_t007_seed40_full_merged,ok,0.2316776687671754,724.218,232.056,956.277,,0.2,256,3,0.0004,0.9999304579548906,0.999900193087591,0.23167766876717544
8,gru_small_grid_v2_t008_seed40_full_merged,ok,0.2610970108196803,635.646,222.259,857.908,,0.2,256,2,0.0003,0.9999239251607155,0.9998732359601622,0.26109701081968034
9,gru_small_grid_v2_t009_seed40_full_merged,ok,0.2575511951616764,840.4,230.52,1070.923,,0.2,224,4,0.0004,0.9999162775299786,0.99987665560738,0.25755119516167646
10,gru_small_grid_v2_t010_seed40_full_merged,ok,0.2684607076243711,526.443,221.701,748.147,,0.2,256,2,0.0004,0.9999163267213242,0.9998659849006023,0.26846070762437113
11,gru_small_grid_v2_t011_seed40_full_merged,ok,0.2364536459420272,795.993,227.525,1023.522,,0.2,256,3,0.0005,0.9999233355086924,0.9998960356838018,0.23645364594202725
12,gru_small_grid_v2_t012_seed40_full_merged,ok,0.2428449037785725,2413.864,284.898,2698.765,,0.2,192,4,0.0004,0.9999134220431445,0.9998903394904216,0.24284490377857257
