hpo_name,trial,run_sig,mean_rmse_1_16,weighted_mean_rmse_1_16,mean_rmse_13_16,rmse_h16,mean_mae_1_16,weighted_mean_mae_1_16,mean_mae_13_16,mae_h16,gru_hidden,gru_layers,gru_dropout,lr
gru_small_grid_v1,3,gru_small_grid_v1_t003_seed40_full_merged,0.17884655978635067,0.18456613503864774,0.213511949713736,0.22161636178595082,0.07186473292443579,0.07604401164511869,0.09617053393184938,0.1011860768834813,192,2,0.2,0.0003
gru_small_grid_v1,10,gru_small_grid_v1_t010_seed40_full_merged,0.18222237330632218,0.18815570679254076,0.2169350506244836,0.22391652635143727,0.07500732972793538,0.07960820056211398,0.10110422578947807,0.1058205822546033,96,2,0.2,0.0001
gru_small_grid_v1,11,gru_small_grid_v1_t011_seed40_full_merged,0.18753364755207896,0.1918978203771975,0.21343834829122185,0.21888754083107817,0.07634944088548348,0.08039501775074766,0.09918185535176008,0.10323677533496525,192,2,0.3,0.001
gru_small_grid_v1,4,gru_small_grid_v1_t004_seed40_full_merged,0.18775508771445987,0.19312450045689844,0.2203197738623678,0.22808718696181166,0.07155356669002882,0.07565816065956317,0.09537609104855613,0.10038405657635296,192,3,0.2,0.0003
gru_small_grid_v2,3,gru_small_grid_v2_t003_seed40_full_merged,0.18775508771445987,0.19312450045689844,0.2203197738623678,0.22808718696181166,0.07155356669002882,0.07565816065956317,0.09537609104855613,0.10038405657635296,192,3,0.2,0.0003
gru_small_grid_v3,7,gru_small_grid_v3_t007_seed40_full_merged,0.18899681636533014,0.19314440673838087,0.21484691071868714,0.2207296491891021,0.07606192382321855,0.07995783312625958,0.09903710518466087,0.10381719693889374,192,5,0.2,0.0004
gru_small_grid_v2,4,gru_small_grid_v2_t004_seed40_full_merged,0.18921068011369951,0.19548768459452157,0.22487661851178914,0.23113950945869108,0.07756263821361722,0.08213716558373603,0.10392460131304596,0.10885716707958522,256,2,0.2,0.0005
gru_small_grid_v2,7,gru_small_grid_v2_t007_seed40_full_merged,0.191185967057859,0.19712005176267092,0.22589002779940423,0.23167766876717544,0.07557285607290545,0.07961667388417894,0.09899186690160182,0.10322122892655362,256,3,0.2,0.0004
gru_small_grid_v3,9,gru_small_grid_v3_t009_seed40_full_merged,0.19300517035653414,0.1975143419839279,0.21981606412201804,0.22553491627053396,0.07811188905234373,0.08225194273501121,0.10209466853046575,0.10688942376781338,160,5,0.2,0.00035
gru_small_grid_v2,5,gru_small_grid_v2_t005_seed40_full_merged,0.1933890627479783,0.19844644770103018,0.2234490934003152,0.2290918360569006,0.07583072974978194,0.07999919539786164,0.09956187352617075,0.10368511066083946,256,4,0.2,0.0002
