horizon,NSE,RMSE,nRMSE,MAE,model,run
1.0,0.9686692699473061,0.02875403712053647,0.12432424015346535,0.021319137507186822,GRU,gru_small_grid_v2_t012_seed40_full_merged
2.0,0.9497352232792725,0.03804125811909745,0.16287921131461552,0.028143738255356297,GRU,gru_small_grid_v2_t012_seed40_full_merged
3.0,0.9352672119652797,0.04461429820862257,0.18870102358774907,0.033272772124319366,GRU,gru_small_grid_v2_t012_seed40_full_merged
4.0,0.9186578323153631,0.050095437679711884,0.21301904073188566,0.03769270991866207,GRU,gru_small_grid_v2_t012_seed40_full_merged
5.0,0.9028953667633782,0.054300561887948094,0.23546958322841555,0.04110176119453463,GRU,gru_small_grid_v2_t012_seed40_full_merged
6.0,0.8881172518138071,0.05844285077370223,0.25230240704472234,0.04442198451979336,GRU,gru_small_grid_v2_t012_seed40_full_merged
7.0,0.8747698873213726,0.06197447460195003,0.27072699036781916,0.04774818585548566,GRU,gru_small_grid_v2_t012_seed40_full_merged
8.0,0.8600894563019861,0.06467426038434021,0.2851124852381903,0.04997046994956541,GRU,gru_small_grid_v2_t012_seed40_full_merged
9.0,0.8445833020869254,0.06785490434744261,0.29754908780516487,0.05280910013041971,GRU,gru_small_grid_v2_t012_seed40_full_merged
10.0,0.8300061034576387,0.07173332166056932,0.31110650079427293,0.05594938451593572,GRU,gru_small_grid_v2_t012_seed40_full_merged
11.0,0.816806243927289,0.07461345524253729,0.32593103040900856,0.05829089441340723,GRU,gru_small_grid_v2_t012_seed40_full_merged
12.0,0.8049886024159075,0.07764039401013505,0.33607316172958007,0.06111236671348671,GRU,gru_small_grid_v2_t012_seed40_full_merged
13.0,0.7924562298470621,0.08075663831206178,0.3469446583803071,0.06327284775771104,GRU,gru_small_grid_v2_t012_seed40_full_merged
14.0,0.7812727745438512,0.0829982637951635,0.3549452974698253,0.06534329946939048,GRU,gru_small_grid_v2_t012_seed40_full_merged
15.0,0.7670995928324528,0.08445514293576677,0.3621479055248375,0.06744941901334953,GRU,gru_small_grid_v2_t012_seed40_full_merged
16.0,0.7575100340265488,0.0867861071262909,0.37532650227934883,0.06926387109797755,GRU,gru_small_grid_v2_t012_seed40_full_merged
1.0,0.9700000286102295,0.02800000086426735,0.122,0.019999999552965164,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
2.0,0.9470000267028809,0.03799999877810478,0.165,0.02800000086426735,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
3.0,0.9279999732971191,0.04500000178813934,0.197,0.03400000184774399,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
4.0,0.9110000133514404,0.05000000074505806,0.219,0.03799999877810478,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
5.0,0.8949999809265137,0.054999999701976776,0.237,0.04100000113248825,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
6.0,0.878000020980835,0.05900000035762787,0.252,0.04500000178813934,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
7.0,0.8629999756813049,0.06300000101327896,0.268,0.04800000041723251,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
8.0,0.8529999852180481,0.06599999964237213,0.281,0.050999999046325684,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
9.0,0.8379999995231628,0.0689999982714653,0.294,0.05400000140070915,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
10.0,0.824999988079071,0.07199999690055847,0.304,0.0560000017285347,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
11.0,0.8140000104904175,0.07500000298023224,0.315,0.05900000035762787,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
12.0,0.8029999732971191,0.07800000160932541,0.325,0.061000000685453415,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
13.0,0.7919999957084656,0.08100000023841858,0.335,0.06300000101327896,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
14.0,0.7829999923706055,0.08399999886751175,0.343,0.06499999761581421,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
15.0,0.7730000019073486,0.0860000029206276,0.35,0.06700000166893005,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
16.0,0.7630000114440918,0.08900000154972076,0.358,0.07000000029802322,TFT,TFT_in52_out16_ep50_bs4096_stat1_seed2230_full_merged
