id,x_25833,y_25833,d_k1_mean_m,d_k3_mean_m,d_k5_mean_m,d_k10_mean_m,rmse
LFU_25470024,409856.0,5919494.0,2.23606797749979,3443.987169526977,5409.262385933139,7497.706638729188,1.590588661415659
LFU_25496025,432056.0,5920183.0,4249.5056183043225,8599.516604767965,9959.738514793067,13075.136192453752,5.102482714293149
LFU_26381003,304291.0,5913711.0,5642.616857451869,9141.110374584887,11552.263714343173,16935.300303144326,1.1592551434496539
LFU_26390030,312085.0,5912986.0,0.0,7587.682006024403,10817.020849540739,15072.779488492972,0.06085236474673392
LFU_26390040,316596.0,5910794.0,5015.3748613638045,8795.56754258542,10501.380882383852,13757.150018346121,0.30731107967648896
LFU_26490031,422868.0,5908743.0,2.0,3287.784764870097,5231.420525410738,10067.698091318718,4.803199097585962
LFU_265210101,459106.0,5906585.0,6.708203932499369,5371.716581483718,7720.421265642644,12071.645189902092,0.6917843023697323
LFU_27381011,301205.0,5900025.0,1.0,5607.194458059395,7681.734853650654,10881.800297004143,0.7620015857255681
LFU_27390101,321176.0,5904496.0,3911.5323084438405,5734.861202399244,7277.969778148562,9122.502035805486,32.07693510758285
LFU_27400050,326070.0,5907834.0,2602.6311686445315,5258.450139725696,7039.932355426342,10153.990279609738,5.051758393584971
LFU_27400243,324962.0,5905479.0,0.0,3124.2042970109414,4984.891881425805,8090.131907137751,0.1334994194196976
LFU_27400244,324962.0,5905479.0,0.0,3124.2042970109414,4984.891881425805,8090.131907137751,0.12639709262402182
LFU_27410232,333766.0,5898408.0,1104.648812971797,3536.4520226002824,4028.483748922297,5197.51227541218,0.1580789188443986
LFU_27410250,342261.101,5898114.907,3909.31912957325,5154.420916023155,5741.74892098007,8198.453275114423,1.2939004528066607
LFU_27511009,447149.0,5896501.0,1414.896816025819,4786.9160096080595,5950.916243575459,7488.684773753355,1.1782872479595812
LFU_28350010,270677.0,5889153.0,3370.728111254303,4811.786247778794,6197.092101074735,8183.925676547391,2.877141162708571
LFU_28350024,275206.0,5899012.0,0.0,0.0,3242.03911142355,9262.146982451557,0.8451461384981451
LFU_28360020,280060.0,5893270.0,6169.13454221903,6709.236322665872,7033.049200074194,8803.312739708983,10.488190863702865
LFU_28370011,297460.0,5888197.0,5044.275666535285,5954.0266251674175,6755.286960823648,9695.50489543881,8.51260504028438
LFU_28370020,295525.0,5891075.0,3449.4292281477524,4257.449605176083,5621.54455220487,9237.981860074957,14.58328244928933
LFU_28400252,322872.0,5894194.0,0.0,570.2105848816831,1537.6446399497738,4110.8677845343855,1.2828522650068093
LFU_28401170,327764.0,5886338.0,4600.692339202873,5263.923053884694,5968.75021718474,7028.642678564067,1.0581250603615542
LFU_28410213,337738.0,5894223.0,558.1290173427645,558.1290173427645,2201.365710425199,4174.542454427414,1.7054394496762533
LFU_28438014,355300.0,5895940.0,1279.699964835508,4729.384395419067,6768.035107252705,8909.088688639133,0.38381731582618756
LFU_28438060,359309.0,5891587.0,2729.6638987245296,3526.160263837088,4089.269179123349,5295.605208651495,0.13391387411303107
LFU_28438100,361255.0,5885751.0,2171.033331451583,2705.567211720963,3275.34848357284,4834.573836302244,1.0387484466053867
