model,horizon,median_rmse_per_well,n_wells
Global GRU,2,0.030132208603077158,52
Global GRU,3,0.04392178856201573,52
Global GRU,4,0.034627573283310176,52
Global GRU,7,0.05760333792861563,52
Global GRU,8,0.05734843903004534,52
Global GRU,11,0.06913383910095934,52
Global GRU,12,0.06882050189924391,52
Global GRU,16,0.07818271595936153,52
GP on true obs,2,0.458365568267192,52
GP on true obs,3,0.47641813098605273,52
GP on true obs,4,0.47007138741057464,52
GP on true obs,7,0.47242208424021526,52
GP on true obs,8,0.4609923333208846,52
GP on true obs,11,0.47274114676249,52
GP on true obs,12,0.4383768067312526,52
GP on true obs,16,0.4793497648461305,52
GP on GRU preds,2,0.4497561034066856,52
GP on GRU preds,3,0.4540717966839666,52
GP on GRU preds,4,0.4957384882498918,52
GP on GRU preds,7,0.45801676144567904,52
GP on GRU preds,8,0.47422577462870746,52
GP on GRU preds,11,0.45936073384544185,52
GP on GRU preds,12,0.47306991846248125,52
GP on GRU preds,16,0.5021253974178965,52
Joint training GRU + GP,2,0.5056661306589805,52
Joint training GRU + GP,3,0.5207979720214422,52
Joint training GRU + GP,4,0.47610139227062764,52
Joint training GRU + GP,7,0.5386334837771442,52
Joint training GRU + GP,8,0.5426864366794961,52
Joint training GRU + GP,11,0.5622371137212023,52
Joint training GRU + GP,12,0.5595473387352212,52
Joint training GRU + GP,16,0.5788564090337975,52
