model,horizon,median_rmse_per_well,n_wells
Global GRU,1,0.027428531585808012,52
Global GRU,2,0.03668356065266378,52
Global GRU,3,0.0433665442030946,52
Global GRU,4,0.04895548781716175,52
Global GRU,5,0.0526988329705675,52
Global GRU,6,0.055225648095730176,52
Global GRU,7,0.05826936590208048,52
Global GRU,8,0.06074880187582911,52
Global GRU,9,0.0623327205584082,52
Global GRU,10,0.06587373629321686,52
Global GRU,11,0.06885685484991305,52
Global GRU,12,0.07061733201268035,52
Global GRU,13,0.07193771734230507,52
Global GRU,14,0.07342766905608786,52
Global GRU,15,0.07516472212288813,52
Global GRU,16,0.07638027016493809,52
GP on true obs,1,0.5230399312791931,52
GP on true obs,2,0.4994957755568651,52
GP on true obs,3,0.5556487257082033,52
GP on true obs,4,0.4997155269549157,52
GP on true obs,5,0.5435810604297653,52
GP on true obs,6,0.4997247863889936,52
GP on true obs,7,0.5424126704109759,52
GP on true obs,8,0.502945080068601,52
GP on true obs,9,0.5282553187861017,52
GP on true obs,10,0.504156883448291,52
GP on true obs,11,0.5156074780889192,52
GP on true obs,12,0.4974208750554213,52
GP on true obs,13,0.5274828182192917,52
GP on true obs,14,0.52262028664594,52
GP on true obs,15,0.4936116434871721,52
GP on true obs,16,0.5058006387097777,52
GP on GRU preds,1,0.5055780379271205,52
GP on GRU preds,2,0.49588476115125146,52
GP on GRU preds,3,0.500658652122426,52
GP on GRU preds,4,0.5541063906172052,52
GP on GRU preds,5,0.5275977444644339,52
GP on GRU preds,6,0.5371782812203728,52
GP on GRU preds,7,0.5098550325655169,52
GP on GRU preds,8,0.49727606568508864,52
GP on GRU preds,9,0.5037511240044505,52
GP on GRU preds,10,0.4991883884101189,52
GP on GRU preds,11,0.4917168226372591,52
GP on GRU preds,12,0.5029286533681094,52
GP on GRU preds,13,0.5119425326694433,52
GP on GRU preds,14,0.49991628610618655,52
GP on GRU preds,15,0.5030901805171721,52
GP on GRU preds,16,0.5375558609473459,52
Joint training GRU + GP,1,0.4689733823908272,52
Joint training GRU + GP,2,0.4809795232532591,52
Joint training GRU + GP,3,0.5165858532919887,52
Joint training GRU + GP,4,0.5146290680399906,52
Joint training GRU + GP,5,0.5027454174345243,52
Joint training GRU + GP,6,0.5123577198425994,52
Joint training GRU + GP,7,0.5395380913683983,52
Joint training GRU + GP,8,0.5466842878752447,52
Joint training GRU + GP,9,0.5405274888253182,52
Joint training GRU + GP,10,0.5492799041552547,52
Joint training GRU + GP,11,0.557373032877825,52
Joint training GRU + GP,12,0.5755515217001845,52
Joint training GRU + GP,13,0.5637159024938911,52
Joint training GRU + GP,14,0.555057957326949,52
Joint training GRU + GP,15,0.5792040333824358,52
Joint training GRU + GP,16,0.5788564090337975,52
