split,frac,n,RMSE_mean,RMSE_med,NSE_mean,NSE_med,nRMSE_mean,nRMSE_med
md50,95,56,0.908591153112002,0.8814218673627938,-27.273135361032143,-19.73827348024342,2.481258324466551,2.276247068722858
md30,95,36,0.9203973038896971,0.8987183893298905,-23.902159061777553,-17.955228587084573,2.6529391449361635,2.4941755236259953
md40,95,35,0.9944943337066728,1.0019109166591358,-31.252263342748336,-27.878813795769695,2.8905282307693603,2.9165133873280444
md60,95,32,1.0374552220339623,0.9944045810789325,-37.07073123573323,-24.770707468564645,2.6982308158808586,2.6322040653440775
md70,95,2,1.0551248692797217,1.0551248692797217,-22.00623975030342,-22.00623975030342,2.872843933494628,2.872843933494628
md20,95,32,1.249451443561984,1.239039819088851,-47.68991068464632,-48.17307329319591,3.297893600539459,3.357626336053026
md90,95,2,1.257079210218019,1.257079210218019,-33.7555339432964,-33.7555339432964,3.4407122186602486,3.4407122186602486
md80,95,2,1.2723288899143244,1.2723288899143244,-41.14131670861725,-41.14131670861725,3.721482153225007,3.721482153225007
km,95,15,1.34232548880773,1.3294793649795082,-62.84521196630794,-48.446278420934455,3.63234629310579,3.694954198651285
md10,95,2,1.4048072634947082,1.4048072634947082,-92.97935691308842,-92.97935691308842,4.769504215768513,4.769504215768513
rand,95,31,1.4145771174148918,1.3368186223482672,-74.83194055161968,-73.30706595029113,3.3818187551361265,3.1389850758854805
