run_sig,gp_tag,split,frac,ss,ms,RMSE_pw,NSE_pw,nRMSE_pw,nRMSE_range_pw
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42,multiseed_km_gps1,km,95,42,40,1.0632663896475418,-48.226353592384655,3.3968620593480208,0.6779308280223915
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42,multiseed_km_gps2,km,95,42,40,1.0744447723728197,-44.43153847189061,3.229988639205608,0.6093471935624358
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42,multiseed_km_gps3,km,95,42,40,0.9280245379724116,-45.80656069632769,3.521480517138692,0.5278277833285263
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43,multiseed_km_gps1,km,95,43,40,1.3513689761652474,-48.446278420934455,3.578387769472334,0.8609342502259449
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43,multiseed_km_gps2,km,95,43,40,1.326780540630529,-47.9555956354136,3.9999879761759294,0.9058907016139254
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43,multiseed_km_gps3,km,95,43,40,1.3294793649795082,-49.33878297358058,3.9107853043036807,0.9137694071830017
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44,multiseed_km_gps1,km,95,44,40,1.598656726263292,-108.01595377654264,3.694954198651285,0.9199333513251373
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44,multiseed_km_gps2,km,95,44,40,1.615794989846103,-110.23124444871348,3.755457680140381,0.9136513060107202
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44,multiseed_km_gps3,km,95,44,40,1.6120114437729005,-111.004629255353,3.769852146990301,0.96748417931609
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45,multiseed_km_gps1,km,95,45,40,1.1125160760171142,-32.98161469840612,2.3076231669829674,0.6688105159914483
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45,multiseed_km_gps2,km,95,45,40,1.3116436284393904,-38.09189099887986,2.710763886690903,0.7305526969897946
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45,multiseed_km_gps3,km,95,45,40,1.2220628367889523,-37.92102491997545,2.471339317607963,0.7080211218080185
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46,multiseed_km_gps1,km,95,46,40,1.5374319313661184,-70.40983512722272,4.739996060422293,1.0763848488915164
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46,multiseed_km_gps2,km,95,46,40,1.5976497969682757,-76.11332220239258,4.659840259793278,1.1184998796037553
in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46,multiseed_km_gps3,km,95,46,40,1.4537503208857474,-73.70355427660166,4.737875413663208,1.022125750330348
in52_out16_ep50_bs4096_seed40_coloc_md10_f95_ss42,coloc_pilot,md10,95,42,40,1.3591515972731332,-82.9569527101527,4.31242092863198,0.9428427681025819
in52_out16_ep50_bs4096_seed40_coloc_md10_f95_ss43,coloc_pilot,md10,95,43,40,1.4504629297162834,-103.00176111602414,5.226587502905046,1.0339951527790814
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss42,coloc_pilot,md20,95,42,40,1.2429956867687222,-52.83554558530224,3.2860523834017874,0.6295401127086824
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss42,multiseed_md20_gps1,md20,95,42,40,1.202356701679053,-51.79832009783936,3.4917452841567007,0.6252468327416856
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss42,multiseed_md20_gps2,md20,95,42,40,1.2350839514089795,-43.68933965456067,3.17087194566092,0.6073257968229472
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss42,multiseed_md20_gps3,md20,95,42,40,1.2123531961727685,-46.96162304332093,3.322121021517958,0.6158611872729157
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss43,coloc_pilot,md20,95,43,40,1.36349537714084,-61.80483067536949,3.547718774305716,0.596799611150002
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss43,multiseed_md20_gps1,md20,95,43,40,1.3915819821546065,-67.35641345365447,3.5571297957116617,0.6461614438749059
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss43,multiseed_md20_gps2,md20,95,43,40,1.37213126082977,-65.09316629894096,3.5606930842004063,0.6327007803717114
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss43,multiseed_md20_gps3,md20,95,43,40,1.34250714046503,-60.52281515868248,3.4574152156514995,0.6061184011441756
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss44,multiseed_md20_gps1,md20,95,44,40,1.0727383983413503,-37.66953204178851,3.1371757005464675,0.5793617666608485
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss44,multiseed_md20_gps2,md20,95,44,40,1.0087088263619104,-34.42332269851767,2.9686510478519077,0.6011136439929536
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss44,multiseed_md20_gps3,md20,95,44,40,1.0164766231180646,-33.13162399854003,2.9624173036144024,0.6010756693806563
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss45,multiseed_md20_gps1,md20,95,45,40,0.973534873982195,-25.20487649851568,2.9910307750951466,0.6163590552760709
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss45,multiseed_md20_gps2,md20,95,45,40,0.9101151839498004,-25.40264488635087,2.8970831742818604,0.6015357990544571
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss45,multiseed_md20_gps3,md20,95,45,40,1.0421847899588716,-29.423710676901944,2.936053029380469,0.6064697561509975
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss46,multiseed_md20_gps1,md20,95,46,40,1.072918920699765,-20.090116796843525,2.870900157196328,0.579383809940982
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss46,multiseed_md20_gps2,md20,95,46,40,1.1440806206738827,-24.398537117097952,2.8993164419483795,0.5927002495530713
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss46,multiseed_md20_gps3,md20,95,46,40,1.046352932831217,-19.72056141110957,2.8205059715464067,0.5955909336835441
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss47,multiseed_md20_gps1,md20,95,47,40,1.3967543519259236,-46.78925144875264,3.1129632278670734,0.5916126182109739
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss47,multiseed_md20_gps2,md20,95,47,40,1.3372032896954684,-59.96260321878897,3.649220905858625,0.7192451902346724
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss47,multiseed_md20_gps3,md20,95,47,40,1.377235856352634,-50.245402332176624,3.616897254358603,0.642477617873904
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss48,multiseed_md20_gps1,md20,95,48,40,1.40521669479701,-89.61140859949114,3.639487387096498,0.8132264044141289
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss48,multiseed_md20_gps2,md20,95,48,40,1.417699376084376,-91.8404131215828,3.6780246101719785,0.8199412934447174
in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss48,multiseed_md20_gps3,md20,95,48,40,1.3829903685140796,-93.302527356498,3.6308049710429504,0.7794817099555624
