feat,ss,nRMSE_iqr,nRMSE_range,RMSE_pw
fuk_only,42,3.763306570163488,1.313103013614855,0.9312783284441171
fuk_only,43,3.6013650570759035,2.033351092962866,1.83088317111107
fuk_only,44,2.5616129158482748,1.0395616477188883,1.0929441851803423
fuk_only,45,1.8387407206358946,1.1878517569695455,1.0230539551516886
fuk_only,46,2.0920597156720206,1.0502918362340128,0.9063944005110991
fuk_only,47,2.021647539917274,0.9064626879038536,0.7674666285453293
fuk_only,48,3.8348207965686414,1.6823880593135512,1.1595688985774353
fuk_only,49,3.937571944324106,1.640934178349271,1.449515668493934
fuk_only,50,3.0829594304772634,2.3392185993235133,1.749952665013129
fuk_only,51,3.0247944653065364,1.2484500212675835,1.3193159802440704
hydroraum_gespannt,42,3.047622176214105,1.7371494031288734,1.2434058736894638
hydroraum_gespannt,43,4.063221323753446,2.1204375691922115,2.180386263313488
hydroraum_gespannt,44,3.2832400307001177,1.3081848212674505,1.8089996816671576
hydroraum_gespannt,45,1.9943335286214525,1.0118189097384174,0.9118088826026134
hydroraum_gespannt,46,1.959395954882418,0.791998582687609,0.6960670523519096
hydroraum_gespannt,47,2.300423221373838,1.0309733006006292,0.884953763793831
hydroraum_gespannt,48,3.1722926361959853,1.2519431696332226,0.9889590311254066
hydroraum_gespannt,49,4.223808936928895,1.8302074234991723,1.5799958876631561
hydroraum_gespannt,50,3.0106517355729148,1.6801714158002703,1.4364154335607253
hydroraum_gespannt,51,2.464707739245597,0.8038666973018007,0.8517979215314295
hydroraum_only,42,2.7635507517883187,1.476999220845657,1.05038769476951
hydroraum_only,42,2.8199469511702664,1.4390748879561286,1.1894283559735155
hydroraum_only,42,2.9397564013039466,1.6031696534386772,1.1597017646007521
hydroraum_only,43,3.657530699572379,1.7794104672480362,2.0942109669256777
hydroraum_only,43,3.4301275711354258,1.6905198994201704,1.9054023633933899
hydroraum_only,43,3.5056014673093707,1.7864565106302748,1.9780103027710623
hydroraum_only,44,3.3647050126143423,1.3045122857321403,1.8169658165042573
hydroraum_only,44,3.1972299827142994,1.2621194090931414,1.6858116052677263
hydroraum_only,44,3.3662685118563984,1.279297948970191,1.7246932077681683
hydroraum_only,45,1.7208446846150036,0.7891085443649328,0.7266760971459866
hydroraum_only,45,1.7269159427185392,0.7810394064940237,0.8355927275218039
hydroraum_only,45,1.6912267511543617,0.8185991962258559,0.9082383605795457
hydroraum_only,46,1.8540764388906328,0.811733986246072,0.5674448477124894
hydroraum_only,46,1.7823335615299354,0.783895024397232,0.5710067064865145
hydroraum_only,46,1.6854959529791786,0.8057284584409264,0.5759423281067038
hydroraum_only,47,2.298611317763553,0.9229153131018426,0.8483462624853417
hydroraum_only,47,2.255411723210757,0.9426550700403009,0.8419607555580502
hydroraum_only,47,2.2553302386449428,1.0185002204074896,0.873472823875463
hydroraum_only,48,2.6187416097588123,1.2316115337226337,0.9948673329881595
hydroraum_only,49,4.176447065175355,1.7731938834862673,1.7850442927138568
hydroraum_only,50,2.973225743204797,1.5331010794611424,1.3923324638251862
hydroraum_only,51,2.355514984606348,1.1041957383057386,0.8689888263265473
