config_key,label,n,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std
ORACLE_oracle_coloc_md50_f95,oracle     md50 f95,10,0.61185,0.10025966564653785,2.73211,0.4567107848518578
DEC_in52_out16_ep50_bs4096_seed40_coloc_md50_f95__dec_prod_hydroraum,decoupled  md50 f95  [hydroraum],10,0.6215550542147148,0.0961369856533855,2.7130793439889893,0.44417737449196526
DEC_in52_out16_ep50_bs4096_seed40_coloc_md50_f90__dec_prod_hydroraum,decoupled  md50 f90  [hydroraum],10,0.6783516716365098,0.08887309571667612,2.8997742818569234,0.3789225707672245
ORACLE_oracle_coloc_md50_f90,oracle     md50 f90,10,0.68025,0.0885418827448344,2.92496,0.4130061775163498
JOINT_in52_out16_ep50_seed40_coloc_md50_f95_joint,joint      md50 f95,10,0.80529,0.20152036814619453,,
JOINT_in52_out16_ep50_seed40_coloc_md50_f90_joint,joint      md50 f90,10,0.9798600000000001,0.23612852997184958,,
ORACLE_oracle_coloc_rand90_f90,oracle     rand90 f90,10,1.05228,0.16036356471745347,4.44439,0.523188927953692
DEC_in52_out16_ep50_bs4096_seed40_coloc_rand90_f90__dec_prod_hydroraum,decoupled  rand90 f90  [hydroraum],10,1.0576787637520126,0.15841915705132303,4.489878329521061,0.5350856784531577
DEC_in52_out16_ep50_bs4096_seed40_coloc_km_f95__dec_prod_hydroraum,decoupled  km f95  [hydroraum],10,1.0637807318042356,0.2873065920121469,4.513404630039037,1.5366232584703547
DEC_in52_out16_ep50_bs4096_seed40_full_merged_spf0p95_sc10__oracle,decoupled  _full_merged_spf0p95_sc10  [oracle],1,1.133698717370777,,4.250189559134283,
DEC_in52_out16_ep50_bs4096_seed40_coloc_rand_f95__dec_prod_gespannt,decoupled  rand f95  [gespannt],10,1.1516692908597155,0.4616814488225434,4.916219617542496,1.8674638899386686
DEC_in52_out16_ep50_bs4096_seed40_dedup_rand_f95__ms,decoupled  rand f95  [ms],1,1.161693841382034,,4.337872495078569,
JOINT_in52_out16_ep50_seed40_coloc_rand_f90_joint,joint      rand f90,10,1.2026,0.24192182851307806,,
DEC_in52_out16_ep50_bs4096_seed40_coloc_rand_f95__dec_prod_hydroraum,decoupled  rand f95  [hydroraum],10,1.2145264601397012,0.5248568092130831,4.816319322855644,1.2529491615804562
DEC_in52_out16_ep50_bs4096_seed40_coloc_km_f90__dec_prod_hydroraum,decoupled  km f90  [hydroraum],10,1.2145283573377692,0.20155484060361256,5.122771023580282,0.973054049336748
DEC_in52_out16_ep50_bs4096_seed40_coloc_rand80_f80__dec_prod_hydroraum,decoupled  rand80 f80  [hydroraum],10,1.2402122353505274,0.1544094151909127,5.084008587311012,0.585558000457783
JOINT_in52_out16_ep50_seed40_coloc_rand_f95_joint,joint      rand f95,10,1.29188,0.35134354128117967,,
