split,horizon,decoupled,joint,oracle
rand,1,1.2898314864524907,1.291500109887543,1.2895223428224822
rand,2,1.2275195321218477,1.3297395619894867,1.2633934547323702
rand,3,1.3128030792850134,1.3448981128815936,1.3184942260147945
rand,4,1.3204167662438384,1.341225730067596,1.3303152649388077
rand,5,1.3134717984637123,1.3000730953730424,1.313970766120677
rand,6,1.291742667623919,1.3381961825277333,1.2961430074781692
rand,7,1.2921550500001724,1.334324075261578,1.2966103382995806
rand,8,1.3041456807911282,1.316745871217735,1.3107298804976173
rand,9,1.317248638400835,1.2939195773912586,1.329469778985227
rand,10,1.2852363394437831,1.346048107044512,1.3145116974257856
rand,11,1.2810695339400835,1.353819625132052,1.3120621010786366
rand,12,1.2696091550177582,1.3177813894154444,1.280760176322468
rand,13,1.3291165327444352,1.4034998412866337,1.3502217115336448
rand,14,1.2645924345153734,1.334230310869973,1.2794612185106298
rand,15,1.29754985851243,1.3266755878155148,1.2903564921656199
rand,16,1.293252075342484,1.349561678371869,1.2984096119841162
md30,1,0.8476937101865738,0.8407001774332341,0.862354043438331
md30,2,0.8618294210243976,0.8648080749360039,0.8624231045433621
md30,3,0.8306487718577733,0.895861850351808,0.8353768744832679
md30,4,0.8739906622760187,0.8639219809098961,0.8835064782265947
md30,5,0.9259179960297261,0.8316195559138526,0.9255331286784788
md30,6,0.9090632345791388,0.8799870568545496,0.9027793447329683
md30,7,0.9146290892958573,0.8631831819082103,0.9101316364988634
md30,8,0.9529424140081462,0.9688335474043999,0.9385340755036329
md30,9,0.8812399442686872,0.8580776450533503,0.8615016904135324
md30,10,0.8628843575131686,0.8894881336132745,0.8802619113615613
md30,11,0.8523670016653803,0.9098814132313999,0.8659736892410541
md30,12,0.8678765318374293,0.9235576216153585,0.8731446316101068
md30,13,0.9078288313303754,0.8665568940974043,0.9033231129359284
md30,14,0.968484559685602,0.8959655943307345,0.9617985633356716
md30,15,0.837757962155065,0.8947770827649307,0.8341256901344195
md30,16,0.8635512179143163,0.9100967458801925,0.8762930964785897
