split,frac,ss,tag,NSE_hw,run
km,95,42,multiseed_km_gps1,-46.76283776174,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42__multiseed_km_gps1__predobstrain
km,95,42,multiseed_km_gps2,-44.477764236750005,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42__multiseed_km_gps2__predobstrain
km,95,42,multiseed_km_gps3,-44.805190729588574,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42__multiseed_km_gps3__predobstrain
km,95,43,multiseed_km_gps1,-49.197174989563344,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43__multiseed_km_gps1__predobstrain
km,95,43,multiseed_km_gps2,-47.14964504558657,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43__multiseed_km_gps2__predobstrain
km,95,43,multiseed_km_gps3,-49.55802153626424,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43__multiseed_km_gps3__predobstrain
km,95,44,multiseed_km_gps1,-107.82418859447694,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44__multiseed_km_gps1__predobstrain
km,95,44,multiseed_km_gps2,-111.96150029298437,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44__multiseed_km_gps2__predobstrain
km,95,44,multiseed_km_gps3,-109.25900397666322,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss44__multiseed_km_gps3__predobstrain
km,95,45,multiseed_km_gps1,-32.998792024763915,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45__multiseed_km_gps1__predobstrain
km,95,45,multiseed_km_gps2,-38.95639163892778,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45__multiseed_km_gps2__predobstrain
km,95,45,multiseed_km_gps3,-38.35694165011168,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45__multiseed_km_gps3__predobstrain
km,95,46,multiseed_km_gps1,-80.48685112997704,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46__multiseed_km_gps1__predobstrain
km,95,46,multiseed_km_gps2,-82.41953950989263,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46__multiseed_km_gps2__predobstrain
km,95,46,multiseed_km_gps3,-81.44764599155556,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46__multiseed_km_gps3__predobstrain
km,95,47,multiseed_km_gps1,-128.9393010603065,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss47__multiseed_km_gps1__predobstrain
km,95,47,multiseed_km_gps2,-127.37037178128577,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss47__multiseed_km_gps2__predobstrain
km,95,47,multiseed_km_gps3,-130.23151919151368,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss47__multiseed_km_gps3__predobstrain
km,95,48,multiseed_km_gps1,-45.69561258922611,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss48__multiseed_km_gps1__predobstrain
km,95,48,multiseed_km_gps2,-47.59022702097589,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss48__multiseed_km_gps2__predobstrain
km,95,48,multiseed_km_gps3,-44.817455071992356,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss48__multiseed_km_gps3__predobstrain
km,95,49,multiseed_km_gps1,-50.46726915340234,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss49__multiseed_km_gps1__predobstrain
km,95,49,multiseed_km_gps2,-51.77591920192948,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss49__multiseed_km_gps2__predobstrain
km,95,49,multiseed_km_gps3,-50.8486515084626,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss49__multiseed_km_gps3__predobstrain
km,95,50,multiseed_km_gps1,-78.16547456721239,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss50__multiseed_km_gps1__predobstrain
km,95,50,multiseed_km_gps2,-73.55847191892092,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss50__multiseed_km_gps2__predobstrain
km,95,50,multiseed_km_gps3,-75.03227244193047,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss50__multiseed_km_gps3__predobstrain
md10,95,42,coloc_pilot,-79.35576156477737,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md10_f95_ss42__coloc_pilot__predobstrain
md10,95,43,coloc_pilot,-94.09634233323729,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md10_f95_ss43__coloc_pilot__predobstrain
md20,95,42,coloc_pilot,-45.54003630536328,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss42__coloc_pilot__predobstrain
md20,95,42,multiseed_md20_gps1,-49.27119601045306,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss42__multiseed_md20_gps1__predobstrain
md20,95,42,multiseed_md20_gps2,-41.30348434664346,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss42__multiseed_md20_gps2__predobstrain
md20,95,42,multiseed_md20_gps3,-44.17154408516551,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss42__multiseed_md20_gps3__predobstrain
md20,95,43,coloc_pilot,-58.6793654367775,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss43__coloc_pilot__predobstrain
md20,95,43,multiseed_md20_gps1,-62.277000164504834,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss43__multiseed_md20_gps1__predobstrain
md20,95,43,multiseed_md20_gps2,-60.51772285337803,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss43__multiseed_md20_gps2__predobstrain
md20,95,43,multiseed_md20_gps3,-61.03049191708532,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss43__multiseed_md20_gps3__predobstrain
md20,95,44,multiseed_md20_gps1,-37.06920992813394,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss44__multiseed_md20_gps1__predobstrain
md20,95,44,multiseed_md20_gps2,-33.783899765469855,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss44__multiseed_md20_gps2__predobstrain
md20,95,44,multiseed_md20_gps3,-35.43720922008191,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss44__multiseed_md20_gps3__predobstrain
md20,95,45,multiseed_md20_gps1,-27.39145539204833,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss45__multiseed_md20_gps1__predobstrain
md20,95,45,multiseed_md20_gps2,-27.343503854854845,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss45__multiseed_md20_gps2__predobstrain
md20,95,45,multiseed_md20_gps3,-29.1434616356006,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss45__multiseed_md20_gps3__predobstrain
md20,95,46,multiseed_md20_gps1,-22.501557075058287,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss46__multiseed_md20_gps1__predobstrain
md20,95,46,multiseed_md20_gps2,-25.978336209445278,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss46__multiseed_md20_gps2__predobstrain
md20,95,46,multiseed_md20_gps3,-22.397314157994465,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss46__multiseed_md20_gps3__predobstrain
md20,95,47,multiseed_md20_gps1,-50.39908790910257,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss47__multiseed_md20_gps1__predobstrain
md20,95,47,multiseed_md20_gps2,-57.29383840153359,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss47__multiseed_md20_gps2__predobstrain
md20,95,47,multiseed_md20_gps3,-53.28695406358442,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss47__multiseed_md20_gps3__predobstrain
md20,95,48,multiseed_md20_gps1,-87.60189775379521,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss48__multiseed_md20_gps1__predobstrain
md20,95,48,multiseed_md20_gps2,-86.30157208911253,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss48__multiseed_md20_gps2__predobstrain
