split,ss,feat,gps,nRMSE_iqr
rand,42,acf_class_only,1,6.728500541820225
rand,42,acf_class_only,2,6.52746742999005
rand,42,acf_class_only,3,6.651967933523252
rand,42,best_acf_class,1,7.278192940288552
rand,42,best_acf_class,2,7.355687498632395
rand,42,best_acf_class,3,7.413359904008681
rand,42,best_fok,1,4.411905136854541
rand,42,best_fok,2,4.37161757547403
rand,42,best_fok,3,4.388057302453268
rand,42,best_fok_fuk,1,4.36618329265736
rand,42,best_fok_fuk,2,4.374231798080013
rand,42,best_fok_fuk,3,4.3148155968338475
rand,42,best_fuk,1,4.096052389100497
rand,42,best_fuk,2,4.1249311770927735
rand,42,best_fuk,3,4.248747697645575
rand,42,best_gwlk_cont,1,4.190700589522276
rand,42,best_gwlk_cont,2,4.234476129405756
rand,42,best_gwlk_cont,3,4.36348379595463
rand,42,best_gwlk_onehot,1,4.251295237897768
rand,42,best_gwlk_onehot,2,4.1838507359187425
rand,42,best_gwlk_onehot,3,4.283033802141303
rand,42,best_pr1lag,1,4.878113656041139
rand,42,best_pr1lag,2,4.706130064945279
rand,42,best_pr1lag,3,4.83802593933008
rand,42,best_pr52lag,1,4.35803051933012
rand,42,best_pr52lag,2,4.850753295456977
rand,42,best_pr52lag,3,4.054748662976119
rand,42,best_pr52xcorr,1,5.054359187426432
rand,42,best_pr52xcorr,2,5.130300988513312
rand,42,best_pr52xcorr,3,5.071514050955509
rand,42,best_pr_all,1,5.239995267976166
rand,42,best_pr_all,2,5.105821562149872
rand,42,best_pr_all,3,5.386128673484395
rand,42,coords_only,1,3.512785093279997
rand,42,coords_only,2,3.381524037973647
rand,42,coords_only,3,3.798414281221372
rand,42,fok_fuk,1,3.597215316641959
rand,42,fok_fuk,2,3.6189166084267512
rand,42,fok_fuk,3,3.7275151353824914
rand,42,fok_only,1,3.5718559767887186
rand,42,fok_only,2,3.535787427678912
rand,42,fok_only,3,3.744306082872222
rand,42,fuk_only,1,3.731344321473202
rand,42,fuk_only,2,3.6457101300176458
rand,42,fuk_only,3,3.8353495429959574
rand,42,gespannt_only,1,2.8118981417429154
rand,42,gespannt_only,2,2.8496732127046065
rand,42,gespannt_only,3,3.03942102907628
rand,42,gfa_hydroraum,1,2.8193024824102255
rand,42,gfa_hydroraum,2,2.8951454791420512
rand,42,gfa_hydroraum,3,2.9560502751870104
rand,42,gfa_only,1,3.4457649606632312
rand,42,gwlk_cont_only,1,3.325092072310989
rand,42,gwlk_cont_only,2,3.355907349671215
rand,42,gwlk_cont_only,3,3.690914779968514
rand,42,hydroraum_gespannt,1,3.0651585732944566
rand,42,hydroraum_gespannt,2,2.948243683200521
rand,42,hydroraum_gespannt,3,3.1463597767680924
rand,42,hydroraum_only,1,2.821036496216337
rand,42,hydroraum_only,2,2.8968373809302075
rand,42,hydroraum_only,3,2.962996969676973
rand,42,pr1lag_only,1,4.2241732349638905
rand,42,pr1lag_only,2,4.177778934320113
rand,42,pr1lag_only,3,4.27897230031167
rand,42,pr52lag_only,1,4.5889352768411
rand,42,pr52lag_only,2,4.388689543758664
rand,42,pr52lag_only,3,4.690704949770426
rand,42,pr52xcorr_only,1,7.6159608925340425
rand,42,pr52xcorr_only,2,7.563802451534086
rand,42,pr52xcorr_only,3,7.294516457531531
rand,42,siwa_acf_class,1,8.758209029076008
rand,42,siwa_acf_class,2,8.471152523875181
rand,42,siwa_acf_class,3,8.74362443915372
rand,42,siwa_fok,1,4.032088200318457
rand,42,siwa_fok,2,4.003059528576442
rand,42,siwa_fok,3,4.041303561202845
rand,42,siwa_fok_fuk,1,4.060004413706377
rand,42,siwa_fok_fuk,2,4.012993792270562
rand,42,siwa_fok_fuk,3,4.106194533262852
rand,42,siwa_fuk,1,4.051944725282351
rand,42,siwa_fuk,2,3.9995851491465544
