split,feat,nRMSE_iqr,rmse_pw
rand,coords_only,2.652670099503003,0.9976582577701713
rand,coords_only,2.189351677774426,1.0635033704777541
rand,coords_only,3.394421735387384,1.4464814438887368
rand,coords_only,3.161657255748398,1.18964047130983
rand,coords_only,2.6722008612245225,0.9144488997252491
rand,coords_only,3.3920369946018605,1.2542488469742716
rand,coords_only,2.8054571799740193,1.081015965395864
rand,coords_only,3.1140303959282356,1.254581648726976
rand,coords_only,2.7750153314298958,0.9985983617177361
rand,coords_only,3.0739647929045377,1.103377197583836
rand,hydroraum_only,2.642921496755557,1.141820343609886
rand,hydroraum_only,2.248047629815354,1.0136071732844005
rand,hydroraum_only,2.7903221883541742,1.2038264800330252
rand,hydroraum_only,2.6227277710853834,1.0315096320992714
rand,hydroraum_only,2.3421788199812097,0.8773844672669491
rand,hydroraum_only,2.7099649212650103,1.0703257034595897
rand,hydroraum_only,2.5527343412436885,0.9461303746012846
rand,hydroraum_only,2.892672736565906,1.3824468537313497
rand,hydroraum_only,2.8240144601021533,1.0187263924364762
rand,hydroraum_only,2.5596924098696485,0.8372344594173246
rand,gespannt_only,2.528711462596182,1.0355525355385549
rand,gespannt_only,2.5795982321562017,0.9868117907668101
rand,gespannt_only,2.9703950968774846,1.238930477451675
rand,gespannt_only,3.4903989221074987,1.3105457170529555
rand,gespannt_only,2.5882283054786104,0.8266088394567102
rand,gespannt_only,3.630334636048194,1.3737536432828508
rand,gespannt_only,2.84928315633286,1.1463862491170558
rand,gespannt_only,2.728818960308738,1.092555865961096
rand,gespannt_only,3.5134997652180253,1.4640037435045414
rand,gespannt_only,3.241897712214662,0.9999233603765276
rand,hydroraum_gespannt,2.9407982802975674,1.08210210680596
rand,hydroraum_gespannt,2.8397654990722336,1.5759549499588874
rand,hydroraum_gespannt,2.9119040144525465,1.2328186571890734
rand,hydroraum_gespannt,3.121782107534483,1.2678713878661827
rand,hydroraum_gespannt,2.4617885178049113,0.8869454841256698
rand,hydroraum_gespannt,2.943185721741302,1.0671901409588278
rand,hydroraum_gespannt,2.3606578927765103,0.9689011775523731
rand,hydroraum_gespannt,3.5706832625018157,1.4361763214812968
rand,hydroraum_gespannt,2.8931737372895796,0.9938087927583812
rand,hydroraum_gespannt,2.553748995428132,1.0173748269111171
