log,run,valid_pairs,skipped,RMSE,nRMSE,NSE_pooled,NSE,NSE_id_median,NSE_id_p25,NSE_id_p50,NSE_id_p75,NSE_id_mean,NSE_id_count,NSE_hw,RMSE_hw,nRMSE_hw,MAE,AbsErr_P95,AbsErr_P99,AbsErr_Max,nRMSE_pw,RMSE_pw,NSE_pw,n_dates,n_train_wells,n_holdout_wells,dkl_latent_dims,dkl_train_steps,gp_ls,gp_os,gp_noise,dkl_best_mll,y_mean,y_std
gw-dec-far80-f90-ss42.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss42__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,18.2218,0.5209,0.3926,0.3926,-603.6143,-7625.5301,-603.6143,-53.2152,-19361.0044,104.0,-533.5155,4.3347,16.2637,10.8877,47.8612,64.4399,69.7138,16.3828,4.057,-603.6143,,,,,,,,,,,
gw-dec-far80-f90-ss43.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss43__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,20.038,0.62,0.2884,0.2884,-1288.5141,-8641.0312,-1288.5141,-103.799,-17708.6077,104.0,-1283.1829,5.4241,25.8871,12.4487,53.829,65.1697,75.7218,26.8082,5.284,-1288.5141,,,,,,,,,,,
gw-dec-far80-f90-ss44.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss44__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,23.0428,0.6947,-0.0279,-0.0279,-906.7105,-8420.2214,-906.7105,-127.8727,-28434.9463,104.0,-922.4269,5.2897,23.8236,12.9533,50.6194,100.0726,102.7298,24.1774,5.3784,-906.7105,,,,,,,,,,,
gw-dec-far80-f90-ss45.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss45__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,22.4267,0.6504,0.0271,0.0271,-1221.8946,-9095.1517,-1221.8946,-93.9946,-26365.9601,104.0,-1183.7857,5.8344,24.7825,12.7048,46.8427,101.233,104.5409,25.071,6.0232,-1221.8946,,,,,,,,,,,
gw-dec-far80-f90-ss46.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss46__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,14.8188,0.4737,0.5591,0.5591,-527.2401,-6622.065,-527.2401,-71.1709,-14522.7544,104.0,-523.028,4.2372,16.4303,9.0457,31.8772,58.3002,67.4975,16.2179,4.3092,-527.2401,,,,,,,,,,,
gw-dec-far80-f90-ss47.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss47__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,24.3342,0.7552,-0.0314,-0.0314,-752.8047,-9569.0915,-752.8047,-126.2218,-27694.7907,104.0,-700.9774,5.0597,20.1545,13.7888,59.1009,101.3861,104.8984,23.7218,4.7206,-752.8047,,,,,,,,,,,
gw-dec-far80-f90-ss48.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss48__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,16.4481,0.4956,0.4333,0.4333,-999.7523,-7014.284,-999.7523,-82.3509,-16626.5272,104.0,-1021.8038,5.5451,22.4103,10.5102,40.1182,56.4071,62.4099,23.8605,5.9257,-999.7523,,,,,,,,,,,
gw-dec-far80-f90-ss49.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss49__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,25.7004,0.7786,-0.1483,-0.1483,-1079.3382,-9927.4639,-1079.3382,-118.0976,-32713.1327,104.0,-1017.9484,4.8607,22.6098,14.3683,61.8994,103.3946,106.1341,24.0285,4.8902,-1079.3382,,,,,,,,,,,
gw-dec-far80-f90-ss50.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss50__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,19.9529,0.596,0.2721,0.2721,-729.3159,-7403.7284,-729.3159,-70.0887,-16273.6144,104.0,-778.699,5.4898,21.6318,12.1402,51.1073,63.5488,78.4706,23.2026,5.8143,-729.3159,,,,,,,,,,,
gw-dec-far80-f90-ss51.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_far80_f90_ss51__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,25.5008,0.7518,-0.0962,-0.0962,-679.4376,-7014.1493,-679.4376,-58.4505,-28000.574,104.0,-632.1876,4.9896,17.9586,14.3286,61.2553,103.2793,106.0159,19.2211,4.6201,-679.4376,,,,,,,,,,,
