id,cluster,spatial_split
LFU_25470023,5,spatial_holdout
LFU_25470024,5,spatial_holdout
LFU_25480025,1,spatial_train
LFU_25480026,5,spatial_holdout
LFU_25481088,5,spatial_holdout
LFU_25496025,2,spatial_holdout
LFU_25500006,2,spatial_train
LFU_25501076,2,spatial_holdout
LFU_25510027,9,spatial_train
LFU_26381003,0,spatial_holdout
LFU_26390030,3,spatial_holdout
LFU_26390032,3,spatial_train
LFU_26390040,5,spatial_holdout
LFU_26471092,5,spatial_train
LFU_26471094,5,spatial_holdout
LFU_26471095,5,spatial_train
LFU_26471096,5,spatial_holdout
LFU_26471097,5,spatial_holdout
LFU_26471098,5,spatial_holdout
LFU_26480022,5,spatial_train
LFU_26486009,5,spatial_holdout
LFU_26486010,5,spatial_train
LFU_26490028,0,spatial_holdout
LFU_26490030,9,spatial_train
LFU_26490031,9,spatial_train
LFU_26500002,2,spatial_holdout
LFU_265210100,2,spatial_holdout
LFU_265210101,2,spatial_holdout
LFU_27370001,2,spatial_holdout
LFU_27381002,5,spatial_train
LFU_27381010,7,spatial_train
LFU_27381011,7,spatial_holdout
LFU_27381014,5,spatial_holdout
LFU_27390101,2,spatial_train
LFU_27400050,9,spatial_train
LFU_27400058,5,spatial_train
LFU_27400059,5,spatial_holdout
LFU_27400064,5,spatial_holdout
LFU_27400070,5,spatial_holdout
LFU_27400071,5,spatial_train
LFU_27400243,5,spatial_holdout
LFU_27400244,5,spatial_train
LFU_27410202,3,spatial_train
LFU_27410232,0,spatial_holdout
LFU_27410250,5,spatial_holdout
LFU_27440150,3,spatial_holdout
LFU_27460295,3,spatial_train
LFU_27461019,5,spatial_train
LFU_27471020,5,spatial_holdout
LFU_27501048,2,spatial_holdout
LFU_27511009,5,spatial_holdout
LFU_27511011,5,spatial_holdout
LFU_27511090,5,spatial_train
LFU_27521005,9,spatial_train
LFU_27521006,9,spatial_holdout
LFU_27521086,1,spatial_train
LFU_28330005,4,spatial_holdout
LFU_28340010,9,spatial_train
LFU_28340011,9,spatial_train
LFU_28350010,2,spatial_train
LFU_28350020,2,spatial_holdout
LFU_28350021,2,spatial_holdout
LFU_28350023,2,spatial_holdout
LFU_28350024,2,spatial_train
LFU_28350025,2,spatial_train
LFU_28350026,2,spatial_train
LFU_28360020,9,spatial_train
LFU_28360022,4,spatial_train
LFU_28370011,5,spatial_train
LFU_28370013,5,spatial_train
LFU_28370014,5,spatial_train
LFU_28370015,5,spatial_train
LFU_28370016,5,spatial_holdout
LFU_28370020,2,spatial_holdout
LFU_28390113,5,spatial_train
LFU_28390114,5,spatial_holdout
LFU_28390115,5,spatial_holdout
LFU_28390121,5,spatial_holdout
LFU_28390125,0,spatial_holdout
LFU_28400205,5,spatial_holdout
LFU_28400206,2,spatial_train
LFU_28400211,2,spatial_holdout
LFU_28400223,2,spatial_train
LFU_28400252,2,spatial_train
LFU_28400253,2,spatial_holdout
LFU_28400254,2,spatial_holdout
LFU_28401031,5,spatial_holdout
LFU_28401170,3,spatial_train
LFU_28401180,0,spatial_holdout
LFU_28401181,0,spatial_train
LFU_28401182,0,spatial_train
LFU_28401184,0,spatial_train
LFU_28401185,0,spatial_train
LFU_28410213,5,spatial_train
LFU_28410218,3,spatial_holdout
LFU_28410220,5,spatial_holdout
LFU_28410225,2,spatial_holdout
LFU_28410228,2,spatial_holdout
LFU_28410230,2,spatial_train
LFU_28410240,5,spatial_train
LFU_28428204,5,spatial_train
LFU_28438014,7,spatial_train
LFU_28438060,3,spatial_train
LFU_28438063,3,spatial_holdout
LFU_28438064,3,spatial_holdout
LFU_28438066,3,spatial_holdout
LFU_28438100,3,spatial_holdout
LFU_28438101,3,spatial_holdout
LFU_28438109,3,spatial_train
LFU_28438120,3,spatial_train
LFU_28438121,3,spatial_train
LFU_28438122,3,spatial_train
LFU_28441301,3,spatial_holdout
LFU_28441303,3,spatial_holdout
LFU_28443405,5,spatial_holdout
LFU_28470002,3,spatial_train
LFU_28481093,5,spatial_train
LFU_28500636,9,spatial_train
LFU_28500652,2,spatial_train
LFU_28501101,5,spatial_train
LFU_28501105,9,spatial_train
LFU_28501108,9,spatial_train
LFU_28501111,5,spatial_train
LFU_28510982,3,spatial_train
LFU_28511201,9,spatial_holdout
LFU_28511204,3,spatial_holdout
LFU_28511207,3,spatial_holdout
LFU_28511210,3,spatial_holdout
LFU_28511229,9,spatial_train
LFU_28511230,3,spatial_holdout
LFU_28511231,9,spatial_train
LFU_28519035,9,spatial_train
LFU_28521228,3,spatial_train
LFU_28521235,9,spatial_holdout
LFU_29341721,9,spatial_holdout
LFU_29341722,9,spatial_train
LFU_29350020,6,spatial_train
LFU_29350021,6,spatial_holdout
LFU_29360016,5,spatial_holdout
LFU_29360017,2,spatial_holdout
LFU_29370007,0,spatial_holdout
LFU_29370009,2,spatial_train
LFU_29370010,5,spatial_holdout
LFU_29370011,5,spatial_train
LFU_29391201,9,spatial_holdout
LFU_29391202,9,spatial_train
LFU_29391203,9,spatial_train
LFU_29400520,5,spatial_train
LFU_29400544,3,spatial_train
LFU_29400562,3,spatial_train
LFU_29410540,9,spatial_holdout
LFU_29410630,9,spatial_holdout
LFU_29410640,5,spatial_train
LFU_29410650,3,spatial_holdout
LFU_29428205,5,spatial_holdout
LFU_29428250,2,spatial_holdout
LFU_29438110,3,spatial_train
LFU_29438430,2,spatial_train
LFU_29438509,2,spatial_train
LFU_29463383,3,spatial_train
LFU_29463384,3,spatial_train
LFU_29463385,3,spatial_train
LFU_29470010,5,spatial_holdout
LFU_29472968,3,spatial_holdout
LFU_29472981,3,spatial_holdout
LFU_29481334,7,spatial_train
LFU_29481335,7,spatial_train
LFU_29481337,7,spatial_train
LFU_29483281,3,spatial_train
LFU_29484282,3,spatial_holdout
LFU_29490617,5,spatial_train
LFU_29490630,9,spatial_holdout
LFU_29490631,9,spatial_train
LFU_29490632,9,spatial_holdout
LFU_29490633,9,spatial_train
LFU_29490634,9,spatial_holdout
LFU_29501403,0,spatial_train
LFU_29501404,2,spatial_train
LFU_29501405,2,spatial_train
LFU_29510149,9,spatial_train
LFU_29510657,6,spatial_train
LFU_29510999,0,spatial_holdout
LFU_29519002,9,spatial_train
LFU_29519012,6,spatial_holdout
LFU_29519013,0,spatial_holdout
LFU_29519017,6,spatial_train
