id,cluster,spatial_split
LFU_25510027,3,spatial_train
LFU_26390040,2,spatial_train
LFU_26490030,3,spatial_train
LFU_26490031,3,spatial_train
LFU_27381010,19,spatial_train
LFU_27381011,19,spatial_train
LFU_27460295,7,spatial_train
LFU_27511009,2,spatial_train
LFU_27511011,2,spatial_train
LFU_27521005,3,spatial_train
LFU_27521006,3,spatial_train
LFU_27521086,16,spatial_train
LFU_28330005,4,spatial_train
LFU_28370013,9,spatial_train
LFU_28370014,9,spatial_train
LFU_28390125,1,spatial_train
LFU_28401184,1,spatial_train
LFU_28401185,1,spatial_holdout
LFU_28500636,3,spatial_train
LFU_28500652,0,spatial_train
LFU_28501101,2,spatial_train
LFU_28501105,3,spatial_train
LFU_28501108,4,spatial_train
LFU_28510982,0,spatial_train
LFU_28511201,2,spatial_train
LFU_28511204,0,spatial_train
LFU_28511207,0,spatial_train
LFU_28511210,0,spatial_train
LFU_28511229,3,spatial_train
LFU_28511230,18,spatial_train
LFU_28511231,0,spatial_train
LFU_28519035,2,spatial_train
LFU_28521228,0,spatial_train
LFU_28521235,0,spatial_train
LFU_29341721,3,spatial_train
LFU_29341722,3,spatial_train
LFU_29350020,8,spatial_train
LFU_29350021,8,spatial_train
LFU_29360016,0,spatial_train
LFU_29360017,0,spatial_train
LFU_29370007,1,spatial_train
LFU_29370010,2,spatial_train
LFU_29400562,0,spatial_train
LFU_29410540,9,spatial_train
LFU_29410630,9,spatial_train
LFU_29438110,9,spatial_train
LFU_29463383,0,spatial_train
LFU_29463384,0,spatial_train
LFU_29463385,0,spatial_train
LFU_29510149,9,spatial_train
LFU_29510657,15,spatial_train
LFU_29510999,15,spatial_train
LFU_29519002,15,spatial_train
LFU_29519012,8,spatial_train
LFU_29519013,15,spatial_train
LFU_29519017,8,spatial_train
LFU_29519020,6,spatial_train
LFU_29519021,0,spatial_holdout
LFU_29519023,12,spatial_train
LFU_29519026,4,spatial_train
LFU_29519030,15,spatial_train
LFU_29519040,6,spatial_train
LFU_29519042,0,spatial_train
LFU_29519045,6,spatial_train
LFU_29519047,9,spatial_train
LFU_30360035,3,spatial_train
LFU_30360036,3,spatial_train
LFU_30370039,0,spatial_train
LFU_30370040,0,spatial_train
LFU_30370046,3,spatial_train
