id,cluster,spatial_split
LFU_25501076,2,spatial_train
LFU_27381002,2,spatial_train
LFU_27390101,2,spatial_train
LFU_27511090,2,spatial_train
LFU_28350023,0,spatial_train
LFU_28350024,0,spatial_train
LFU_28350025,0,spatial_train
LFU_28350026,0,spatial_train
LFU_28410213,0,spatial_train
LFU_28410218,0,spatial_holdout
LFU_28410225,0,spatial_train
LFU_28410228,0,spatial_train
LFU_28410230,0,spatial_train
LFU_28410240,6,spatial_train
LFU_28438109,1,spatial_train
LFU_28438120,0,spatial_train
LFU_28438121,0,spatial_train
LFU_28438122,0,spatial_train
LFU_28443405,0,spatial_train
LFU_29481337,8,spatial_train
LFU_29490617,0,spatial_train
LFU_30390001,2,spatial_train
LFU_31502021,8,spatial_train
LFU_32449210,1,spatial_holdout
LFU_32449211,1,spatial_train
LFU_32462086,1,spatial_train
LFU_32462087,1,spatial_train
LFU_32464600,2,spatial_train
LFU_32464601,2,spatial_train
LFU_32465430,0,spatial_holdout
LFU_32471945,2,spatial_train
LFU_32471947,2,spatial_train
LFU_32471954,0,spatial_train
LFU_32471955,0,spatial_holdout
LFU_32472089,0,spatial_train
LFU_32481965,0,spatial_train
LFU_32481966,0,spatial_train
LFU_32481967,2,spatial_train
LFU_32482083,2,spatial_train
LFU_32492085,2,spatial_train
LFU_32502171,0,spatial_train
LFU_33419914,0,spatial_train
LFU_33419915,0,spatial_train
LFU_33419916,0,spatial_train
LFU_33447300,0,spatial_train
LFU_33470881,1,spatial_train
LFU_33470916,1,spatial_train
LFU_33470920,1,spatial_train
LFU_33470959,3,spatial_train
LFU_33471550,2,spatial_train
LFU_33482200,2,spatial_train
LFU_33502241,2,spatial_train
LFU_33502260,0,spatial_train
LFU_34426005,1,spatial_train
LFU_34471523,2,spatial_train
LFU_34471563,9,spatial_train
LFU_34471564,9,spatial_train
LFU_34481534,1,spatial_train
LFU_34481535,1,spatial_train
LFU_34481536,1,spatial_train
LFU_34491542,8,spatial_train
LFU_34491543,8,spatial_train
LFU_34491544,1,spatial_train
LFU_34495032,2,spatial_holdout
LFU_34502401,1,spatial_train
LFU_34502412,2,spatial_train
LFU_34502540,0,spatial_train
LFU_35432435,7,spatial_train
LFU_35432590,8,spatial_train
LFU_35442250,5,spatial_train
LFU_35442251,5,spatial_train
LFU_35442253,5,spatial_train
LFU_35442254,5,spatial_train
LFU_35442256,5,spatial_train
LFU_36451317,9,spatial_holdout
LFU_36451328,9,spatial_train
LFU_36451329,9,spatial_train
LFU_36451340,0,spatial_train
LFU_36451341,0,spatial_train
LFU_36451342,0,spatial_train
LFU_36451351,9,spatial_train
LFU_36451352,9,spatial_train
LFU_36451922,2,spatial_train
LFU_36461325,9,spatial_train
LFU_36461326,9,spatial_train
LFU_36461327,9,spatial_train
LFU_36465000,9,spatial_train
LFU_36465001,9,spatial_train
LFU_36520280,2,spatial_train
LFU_36521678,2,spatial_holdout
LFU_36522651,4,spatial_train
LFU_36532653,0,spatial_train
LFU_37511772,0,spatial_train
LFU_37511774,0,spatial_holdout
LFU_38404660,0,spatial_train
LFU_38404670,0,spatial_train
LFU_38490947,0,spatial_train
LFU_38501726,2,spatial_train
LFU_38501728,0,spatial_train
LFU_38501758,2,spatial_train
LFU_38511789,0,spatial_train
LFU_38525106,0,spatial_train
LFU_38539085,0,spatial_train
LFU_38539090,0,spatial_train
LFU_38539093,0,spatial_train
LFU_39423103,0,spatial_train
LFU_39532920,0,spatial_train
LFU_40431025,2,spatial_train
LFU_43493291,0,spatial_train
