id,cluster,spatial_split
LFU_25470023,1,spatial_train
LFU_25470024,1,spatial_train
LFU_25480025,13,spatial_holdout
LFU_25480026,2,spatial_train
LFU_25481088,0,spatial_train
LFU_25496025,0,spatial_train
LFU_25500006,0,spatial_train
LFU_26381003,3,spatial_train
LFU_26390030,3,spatial_train
LFU_26390032,3,spatial_train
LFU_26471092,0,spatial_train
LFU_26471094,2,spatial_train
LFU_26471095,18,spatial_train
LFU_26471096,18,spatial_train
LFU_26471097,2,spatial_train
LFU_26471098,2,spatial_train
LFU_26480022,0,spatial_train
LFU_26486009,0,spatial_train
LFU_26486010,0,spatial_holdout
LFU_26490028,15,spatial_train
LFU_26500002,0,spatial_train
LFU_265210100,0,spatial_train
LFU_265210101,0,spatial_train
LFU_27370001,0,spatial_train
LFU_27381014,0,spatial_train
LFU_27400050,1,spatial_train
LFU_27400058,2,spatial_train
LFU_27400059,1,spatial_train
LFU_27400064,0,spatial_train
LFU_27400070,0,spatial_train
LFU_27400071,0,spatial_train
LFU_27400243,0,spatial_train
LFU_27400244,0,spatial_train
LFU_27410202,4,spatial_train
LFU_27410232,3,spatial_train
LFU_27410250,1,spatial_train
LFU_27440150,4,spatial_train
LFU_27461019,2,spatial_train
LFU_27471020,2,spatial_train
LFU_27501048,0,spatial_train
LFU_28340010,1,spatial_train
LFU_28340011,1,spatial_train
LFU_28350010,5,spatial_train
LFU_28350020,5,spatial_train
LFU_28350021,5,spatial_train
LFU_28360020,1,spatial_holdout
LFU_28360022,17,spatial_train
LFU_28370011,2,spatial_train
LFU_28370015,0,spatial_train
LFU_28370016,0,spatial_train
LFU_28370020,5,spatial_train
LFU_28390113,0,spatial_train
LFU_28390114,0,spatial_train
LFU_28390115,0,spatial_train
LFU_28390121,0,spatial_train
LFU_28400205,1,spatial_train
LFU_28400206,2,spatial_train
LFU_28400211,5,spatial_train
LFU_28400223,5,spatial_train
LFU_28400252,5,spatial_train
LFU_28400253,5,spatial_train
LFU_28400254,2,spatial_train
LFU_28401031,15,spatial_train
LFU_28401170,6,spatial_train
LFU_28401180,15,spatial_train
LFU_28401181,15,spatial_train
LFU_28401182,15,spatial_train
LFU_28410220,4,spatial_train
LFU_28428204,1,spatial_holdout
LFU_28438014,11,spatial_train
LFU_28438060,4,spatial_train
LFU_28438063,2,spatial_train
LFU_28438064,10,spatial_train
LFU_28438066,4,spatial_train
LFU_28438100,19,spatial_train
LFU_28438101,10,spatial_train
LFU_28441301,2,spatial_train
LFU_28441303,10,spatial_train
LFU_28470002,14,spatial_train
LFU_28481093,2,spatial_train
LFU_28501111,2,spatial_train
LFU_29370009,0,spatial_train
LFU_29370011,0,spatial_train
LFU_29391201,1,spatial_train
LFU_29391202,1,spatial_train
LFU_29391203,1,spatial_train
LFU_29400520,1,spatial_train
LFU_29400544,10,spatial_holdout
LFU_29410640,0,spatial_train
LFU_29410650,3,spatial_train
LFU_29428205,2,spatial_train
LFU_29428250,5,spatial_train
LFU_29438430,5,spatial_train
LFU_29438509,5,spatial_train
LFU_29470010,1,spatial_train
LFU_29472968,4,spatial_train
LFU_29472981,4,spatial_train
LFU_29481334,11,spatial_train
LFU_29481335,11,spatial_train
LFU_29483281,4,spatial_train
LFU_29484282,6,spatial_train
LFU_29490630,1,spatial_train
LFU_29490631,1,spatial_train
LFU_29490632,10,spatial_train
LFU_29490633,10,spatial_train
LFU_29490634,10,spatial_train
LFU_29501403,15,spatial_train
LFU_29501404,0,spatial_train
LFU_29501405,0,spatial_train
LFU_30390010,0,spatial_train
LFU_30401381,17,spatial_train
LFU_30401382,17,spatial_train
LFU_30401383,17,spatial_train
LFU_30410700,17,spatial_train
LFU_30410900,17,spatial_holdout
LFU_30429033,6,spatial_train
LFU_30429034,6,spatial_holdout
LFU_30429065,3,spatial_train
LFU_30429066,3,spatial_train
LFU_30429067,3,spatial_train
LFU_30429068,3,spatial_train
LFU_30429666,14,spatial_train
LFU_30429700,0,spatial_train
LFU_30429701,0,spatial_train
LFU_30429750,8,spatial_train
LFU_30438393,1,spatial_train
LFU_30438394,1,spatial_train
LFU_30438395,1,spatial_train
LFU_30438511,10,spatial_train
LFU_30448600,0,spatial_train
LFU_30453790,15,spatial_train
LFU_30460968,5,spatial_train
LFU_30460969,5,spatial_train
LFU_30463568,14,spatial_train
LFU_30463569,14,spatial_train
LFU_30470030,1,spatial_train
LFU_30470031,1,spatial_train
LFU_30470368,5,spatial_train
LFU_30470369,5,spatial_train
LFU_30471179,5,spatial_train
LFU_30472268,4,spatial_train
LFU_30473068,5,spatial_holdout
LFU_30476001,5,spatial_train
LFU_30476003,5,spatial_train
LFU_30480881,4,spatial_train
LFU_30481528,4,spatial_train
LFU_30481529,4,spatial_train
LFU_30491504,13,spatial_train
LFU_30491509,13,spatial_train
LFU_30491510,13,spatial_train
LFU_30491511,13,spatial_train
LFU_30491512,13,spatial_train
LFU_30491513,13,spatial_train
LFU_30491514,13,spatial_train
LFU_30491527,1,spatial_train
LFU_30491532,2,spatial_train
LFU_30491533,2,spatial_train
LFU_31391541,1,spatial_train
LFU_31400820,17,spatial_holdout
LFU_31410787,17,spatial_train
LFU_31410788,17,spatial_train
LFU_31419708,17,spatial_train
LFU_31419709,17,spatial_train
LFU_31419710,17,spatial_train
LFU_31419712,17,spatial_train
LFU_31419861,5,spatial_train
LFU_31429757,17,spatial_train
LFU_31445100,1,spatial_train
LFU_31445101,1,spatial_train
LFU_31445105,1,spatial_train
LFU_31445115,4,spatial_train
LFU_31449107,4,spatial_train
LFU_31449108,4,spatial_train
LFU_31449109,4,spatial_train
LFU_31449110,4,spatial_train
LFU_31455202,1,spatial_train
LFU_31464705,4,spatial_train
LFU_31464706,4,spatial_train
LFU_31471816,2,spatial_holdout
LFU_31471818,6,spatial_train
LFU_31481174,8,spatial_train
LFU_31481186,8,spatial_train
LFU_31481920,15,spatial_holdout
LFU_31481923,8,spatial_train
LFU_31481924,15,spatial_train
LFU_31481925,2,spatial_train
LFU_31481928,8,spatial_train
LFU_31481929,8,spatial_train
LFU_31481930,8,spatial_train
LFU_31481932,6,spatial_train
LFU_31481933,8,spatial_train
LFU_31491981,6,spatial_train
LFU_31491982,6,spatial_holdout
LFU_31491988,6,spatial_train
LFU_31502044,1,spatial_train
LFU_31502091,12,spatial_train
LFU_32392310,0,spatial_train
LFU_32417780,1,spatial_holdout
LFU_32429403,17,spatial_train
LFU_32429404,17,spatial_train
LFU_32445001,0,spatial_holdout
LFU_32449204,0,spatial_train
LFU_32449205,0,spatial_train
LFU_32449206,0,spatial_train
LFU_32464605,0,spatial_holdout
LFU_32464606,0,spatial_train
LFU_32465301,0,spatial_train
LFU_32471948,6,spatial_train
LFU_32471949,6,spatial_train
LFU_32471950,19,spatial_train
LFU_32471958,19,spatial_train
LFU_32502116,18,spatial_train
LFU_32502122,2,spatial_train
LFU_32502123,15,spatial_train
LFU_32502124,6,spatial_train
LFU_33392107,4,spatial_train
LFU_33392108,4,spatial_holdout
LFU_33417726,6,spatial_train
LFU_33447102,0,spatial_train
LFU_33465504,15,spatial_train
LFU_33465505,15,spatial_train
LFU_33465506,15,spatial_train
LFU_33502242,2,spatial_train
LFU_33502244,2,spatial_train
LFU_33502248,2,spatial_train
LFU_34407725,1,spatial_train
LFU_34416018,5,spatial_train
LFU_34416125,3,spatial_train
LFU_34417713,5,spatial_train
LFU_34426013,11,spatial_train
LFU_34426014,11,spatial_train
LFU_34426022,1,spatial_train
LFU_34426024,17,spatial_train
LFU_34426025,13,spatial_train
LFU_34426100,1,spatial_train
LFU_34426101,1,spatial_train
LFU_34426110,10,spatial_train
LFU_34427480,6,spatial_train
LFU_34427481,6,spatial_train
LFU_34480961,15,spatial_train
LFU_34480966,15,spatial_train
LFU_34502413,2,spatial_train
LFU_34512429,0,spatial_train
LFU_34515030,2,spatial_train
LFU_34515031,2,spatial_train
LFU_34522457,3,spatial_train
LFU_34522477,15,spatial_train
LFU_34522492,15,spatial_train
LFU_35412785,13,spatial_train
LFU_35416166,17,spatial_train
LFU_35416180,1,spatial_train
LFU_35432326,15,spatial_train
LFU_35442150,6,spatial_train
LFU_35442151,6,spatial_train
LFU_35459952,14,spatial_train
LFU_35459954,14,spatial_train
LFU_35512550,10,spatial_train
LFU_35522580,2,spatial_train
LFU_35522582,0,spatial_train
LFU_35522583,17,spatial_train
LFU_35522584,1,spatial_holdout
LFU_35522592,0,spatial_holdout
LFU_35522593,0,spatial_train
LFU_35522594,17,spatial_train
LFU_35532628,12,spatial_train
LFU_35532636,6,spatial_train
LFU_36413850,5,spatial_train
LFU_36413851,5,spatial_train
LFU_36441930,15,spatial_train
LFU_36441931,15,spatial_train
