id,cluster,spatial_split
LFU_25470023,0,spatial_train
LFU_25470024,0,spatial_train
LFU_25480025,0,spatial_train
LFU_25480026,0,spatial_train
LFU_25481088,0,spatial_train
LFU_25496025,0,spatial_train
LFU_25500006,0,spatial_train
LFU_25501076,0,spatial_train
LFU_25510027,0,spatial_train
LFU_26381003,0,spatial_train
LFU_26390030,0,spatial_train
LFU_26390032,0,spatial_train
LFU_26390040,0,spatial_train
LFU_26471092,0,spatial_train
LFU_26471094,0,spatial_train
LFU_26471095,0,spatial_train
LFU_26471096,0,spatial_train
LFU_26471097,0,spatial_train
LFU_26471098,0,spatial_train
LFU_26480022,0,spatial_train
LFU_26486009,0,spatial_train
LFU_26486010,0,spatial_train
LFU_26490028,0,spatial_train
LFU_26490030,0,spatial_train
LFU_26490031,0,spatial_train
LFU_26500002,0,spatial_train
LFU_265210100,0,spatial_train
LFU_265210101,0,spatial_train
LFU_27370001,0,spatial_train
LFU_27381002,0,spatial_train
LFU_27381010,0,spatial_train
LFU_27381011,0,spatial_train
LFU_27381014,0,spatial_train
LFU_27390101,0,spatial_train
LFU_27400050,0,spatial_train
LFU_27400058,0,spatial_train
LFU_27400059,0,spatial_train
LFU_27400064,0,spatial_train
LFU_27400070,0,spatial_train
LFU_27400071,0,spatial_train
LFU_27400243,0,spatial_train
LFU_27400244,0,spatial_train
LFU_27410202,0,spatial_train
LFU_27410232,0,spatial_train
LFU_27410250,0,spatial_train
LFU_27440150,0,spatial_train
LFU_27460295,0,spatial_train
LFU_27461019,0,spatial_train
LFU_27471020,0,spatial_train
LFU_27501048,0,spatial_train
LFU_27511009,0,spatial_train
LFU_27511011,0,spatial_train
LFU_27511090,0,spatial_train
LFU_27521005,0,spatial_train
LFU_27521006,0,spatial_train
LFU_27521086,0,spatial_train
LFU_28330005,0,spatial_train
LFU_28340010,0,spatial_train
LFU_28340011,0,spatial_train
LFU_28350010,0,spatial_train
LFU_28350020,0,spatial_train
LFU_28350021,0,spatial_train
LFU_28350023,0,spatial_holdout
LFU_28350024,0,spatial_holdout
LFU_28350025,0,spatial_holdout
LFU_28350026,0,spatial_holdout
LFU_28360020,0,spatial_train
LFU_28360022,0,spatial_train
LFU_28370011,0,spatial_train
LFU_28370013,0,spatial_train
LFU_28370014,0,spatial_train
LFU_28370015,0,spatial_train
LFU_28370016,0,spatial_train
LFU_28370020,0,spatial_train
LFU_28390113,0,spatial_train
LFU_28390114,0,spatial_train
LFU_28390115,0,spatial_train
LFU_28390121,0,spatial_train
LFU_28390125,0,spatial_train
LFU_28400205,0,spatial_train
LFU_28400206,0,spatial_train
LFU_28400211,0,spatial_train
LFU_28400223,0,spatial_train
LFU_28400252,0,spatial_train
LFU_28400253,0,spatial_train
LFU_28400254,0,spatial_train
LFU_28401031,0,spatial_train
LFU_28401170,0,spatial_train
LFU_28401180,0,spatial_train
LFU_28401181,0,spatial_train
LFU_28401182,0,spatial_train
LFU_28401184,0,spatial_train
