id,spatial_split
LFU_25470023,spatial_train
LFU_25470024,spatial_train
LFU_25480025,spatial_train
LFU_25480026,spatial_train
LFU_25481088,spatial_train
LFU_25496025,spatial_train
LFU_25500006,spatial_train
LFU_25501076,spatial_train
LFU_25510027,spatial_train
LFU_26381003,spatial_train
LFU_26390030,spatial_train
LFU_26390032,spatial_train
LFU_26390040,spatial_train
LFU_26471092,spatial_train
LFU_26471094,spatial_train
LFU_26471095,spatial_train
LFU_26471096,spatial_train
LFU_26471097,spatial_train
LFU_26471098,spatial_train
LFU_26480022,spatial_train
LFU_26486009,spatial_train
LFU_26486010,spatial_train
LFU_26490028,spatial_train
LFU_26490030,spatial_train
LFU_26490031,spatial_train
LFU_26500002,spatial_train
LFU_265210100,spatial_train
LFU_265210101,spatial_train
LFU_27370001,spatial_train
LFU_27381002,spatial_train
LFU_27381010,spatial_train
LFU_27381011,spatial_train
LFU_27381014,spatial_train
LFU_27390101,spatial_train
LFU_27400050,spatial_train
LFU_27400058,spatial_train
LFU_27400059,spatial_train
LFU_27400064,spatial_train
LFU_27400070,spatial_train
LFU_27400071,spatial_train
LFU_27400243,spatial_train
LFU_27400244,spatial_train
LFU_27410202,spatial_train
LFU_27410232,spatial_train
LFU_27410250,spatial_train
LFU_27440150,spatial_train
LFU_27460295,spatial_train
LFU_27461019,spatial_val
LFU_27471020,spatial_train
LFU_27501048,spatial_train
LFU_27511009,spatial_train
LFU_27511011,spatial_train
LFU_27511090,spatial_train
LFU_27521005,spatial_train
LFU_27521006,spatial_train
LFU_27521086,spatial_train
LFU_28330005,spatial_train
LFU_28340010,spatial_train
LFU_28340011,spatial_train
LFU_28350010,spatial_train
LFU_28350020,spatial_train
LFU_28350021,spatial_train
LFU_28350023,spatial_train
LFU_28350024,spatial_train
LFU_28350025,spatial_train
LFU_28350026,spatial_train
LFU_28360020,spatial_train
LFU_28360022,spatial_train
LFU_28370011,spatial_train
LFU_28370013,spatial_train
LFU_28370014,spatial_train
LFU_28370015,spatial_train
LFU_28370016,spatial_train
LFU_28370020,spatial_train
LFU_28390113,spatial_train
LFU_28390114,spatial_train
LFU_28390115,spatial_train
LFU_28390121,spatial_train
LFU_28390125,spatial_train
LFU_28400205,spatial_train
LFU_28400206,spatial_train
LFU_28400211,spatial_train
LFU_28400223,spatial_train
LFU_28400252,spatial_train
LFU_28400253,spatial_val
LFU_28400254,spatial_train
LFU_28401031,spatial_train
LFU_28401170,spatial_train
LFU_28401180,spatial_train
LFU_28401181,spatial_train
LFU_28401182,spatial_train
LFU_28401184,spatial_train
LFU_28401185,spatial_train
LFU_28410213,spatial_train
LFU_28410218,spatial_train
LFU_28410220,spatial_train
LFU_28410225,spatial_train
LFU_28410228,spatial_train
LFU_28410230,spatial_train
LFU_28410240,spatial_train
LFU_28428204,spatial_train
LFU_28438014,spatial_train
LFU_28438060,spatial_train
LFU_28438063,spatial_val
LFU_28438064,spatial_train
LFU_28438066,spatial_train
LFU_28438100,spatial_train
LFU_28438101,spatial_train
LFU_28438109,spatial_train
LFU_28438120,spatial_train
LFU_28438121,spatial_train
LFU_28438122,spatial_train
LFU_28441301,spatial_train
LFU_28441303,spatial_train
LFU_28443405,spatial_train
LFU_28470002,spatial_train
LFU_28481093,spatial_train
LFU_28500636,spatial_train
LFU_28500652,spatial_train
LFU_28501101,spatial_train
LFU_28501105,spatial_train
LFU_28501108,spatial_train
LFU_28501111,spatial_test
LFU_28510982,spatial_train
LFU_28511201,spatial_train
LFU_28511204,spatial_train
LFU_28511207,spatial_val
LFU_28511210,spatial_train
LFU_28511229,spatial_train
LFU_28511230,spatial_test
LFU_28511231,spatial_train
LFU_28519035,spatial_train
LFU_28521228,spatial_test
LFU_28521235,spatial_train
LFU_29341721,spatial_train
LFU_29341722,spatial_train
LFU_29350020,spatial_val
LFU_29350021,spatial_train
LFU_29360016,spatial_train
LFU_29360017,spatial_train
LFU_29370007,spatial_train
LFU_29370009,spatial_train
LFU_29370010,spatial_train
LFU_29370011,spatial_train
LFU_29391201,spatial_train
LFU_29391202,spatial_train
LFU_29391203,spatial_train
LFU_29400520,spatial_train
LFU_29400544,spatial_train
LFU_29400562,spatial_train
LFU_29410540,spatial_train
LFU_29410630,spatial_train
LFU_29410640,spatial_train
LFU_29410650,spatial_train
LFU_29428205,spatial_train
LFU_29428250,spatial_train
LFU_29438110,spatial_train
LFU_29438430,spatial_train
LFU_29438509,spatial_train
LFU_29463383,spatial_train
LFU_29463384,spatial_train
LFU_29463385,spatial_train
LFU_29470010,spatial_train
LFU_29472968,spatial_train
LFU_29472981,spatial_train
LFU_29481334,spatial_train
LFU_29481335,spatial_train
LFU_29481337,spatial_train
LFU_29483281,spatial_train
LFU_29484282,spatial_train
LFU_29490617,spatial_train
LFU_29490630,spatial_train
LFU_29490631,spatial_train
LFU_29490632,spatial_train
LFU_29490633,spatial_train
LFU_29490634,spatial_train
LFU_29501403,spatial_train
LFU_29501404,spatial_train
LFU_29501405,spatial_train
LFU_29510149,spatial_train
LFU_29510657,spatial_train
LFU_29510999,spatial_train
LFU_29519002,spatial_train
LFU_29519012,spatial_train
LFU_29519013,spatial_train
LFU_29519017,spatial_test
LFU_29519020,spatial_train
LFU_29519021,spatial_test
LFU_29519023,spatial_train
LFU_29519026,spatial_train
LFU_29519030,spatial_train
LFU_29519040,spatial_train
LFU_29519042,spatial_test
LFU_29519045,spatial_train
LFU_29519047,spatial_train
LFU_30360035,spatial_train
LFU_30360036,spatial_train
LFU_30370039,spatial_train
LFU_30370040,spatial_train
LFU_30370046,spatial_train
LFU_30370047,spatial_train
LFU_30370048,spatial_train
LFU_30370060,spatial_train
LFU_30380005,spatial_train
LFU_30390001,spatial_train
LFU_30390010,spatial_train
LFU_30400558,spatial_train
LFU_30400566,spatial_train
LFU_30400574,spatial_test
LFU_30400580,spatial_train
LFU_30400591,spatial_train
LFU_30401381,spatial_train
LFU_30401382,spatial_test
LFU_30401383,spatial_train
LFU_30410700,spatial_val
LFU_30410900,spatial_train
LFU_30429033,spatial_train
LFU_30429034,spatial_train
LFU_30429043,spatial_train
LFU_30429044,spatial_train
LFU_30429045,spatial_train
LFU_30429065,spatial_train
LFU_30429066,spatial_train
LFU_30429067,spatial_train
LFU_30429068,spatial_train
LFU_30429666,spatial_train
LFU_30429700,spatial_train
LFU_30429701,spatial_train
LFU_30429750,spatial_train
LFU_30438393,spatial_train
LFU_30438394,spatial_train
LFU_30438395,spatial_train
LFU_30438402,spatial_train
LFU_30438404,spatial_train
LFU_30438511,spatial_train
LFU_30448600,spatial_train
LFU_30453790,spatial_train
LFU_30460968,spatial_train
LFU_30460969,spatial_train
LFU_30461768,spatial_train
LFU_30463568,spatial_train
LFU_30463569,spatial_train
LFU_30470030,spatial_train
LFU_30470031,spatial_train
LFU_30470368,spatial_train
LFU_30470369,spatial_train
LFU_30471179,spatial_train
LFU_30472268,spatial_train
LFU_30473068,spatial_train
LFU_30476001,spatial_train
LFU_30476003,spatial_train
LFU_30480881,spatial_train
LFU_30481528,spatial_train
LFU_30481529,spatial_train
LFU_30491504,spatial_train
LFU_30491509,spatial_train
LFU_30491510,spatial_train
LFU_30491511,spatial_train
LFU_30491512,spatial_train
LFU_30491513,spatial_train
LFU_30491514,spatial_train
LFU_30491527,spatial_train
LFU_30491532,spatial_train
LFU_30491533,spatial_train
LFU_30500621,spatial_train
LFU_30509090,spatial_train
LFU_30509092,spatial_train
LFU_31391523,spatial_train
LFU_31391541,spatial_train
LFU_31391622,spatial_train
LFU_31391801,spatial_train
LFU_31400820,spatial_train
LFU_31400830,spatial_train
LFU_31409918,spatial_train
LFU_31410787,spatial_train
LFU_31410788,spatial_train
LFU_31419708,spatial_train
LFU_31419709,spatial_train
LFU_31419710,spatial_train
LFU_31419712,spatial_train
LFU_31419861,spatial_train
LFU_31429400,spatial_train
LFU_31429402,spatial_train
LFU_31429757,spatial_train
LFU_31439300,spatial_train
LFU_31445100,spatial_train
LFU_31445101,spatial_train
LFU_31445105,spatial_train
LFU_31445115,spatial_train
LFU_31449104,spatial_train
LFU_31449105,spatial_train
LFU_31449107,spatial_train
LFU_31449108,spatial_train
LFU_31449109,spatial_train
LFU_31449110,spatial_train
LFU_31449210,spatial_train
LFU_31449211,spatial_train
LFU_31449212,spatial_train
LFU_31454608,spatial_train
LFU_31454653,spatial_train
LFU_31455202,spatial_train
LFU_31464501,spatial_train
LFU_31464518,spatial_train
LFU_31464520,spatial_train
LFU_31464605,spatial_train
LFU_31464607,spatial_train
LFU_31464700,spatial_train
LFU_31464705,spatial_train
LFU_31464706,spatial_train
LFU_31471802,spatial_train
LFU_31471805,spatial_train
LFU_31471806,spatial_train
LFU_31471807,spatial_train
LFU_31471808,spatial_train
LFU_31471810,spatial_train
LFU_31471812,spatial_train
LFU_31471813,spatial_train
LFU_31471816,spatial_train
LFU_31471818,spatial_train
LFU_31471820,spatial_train
LFU_31471821,spatial_train
LFU_31480594,spatial_train
LFU_31481174,spatial_train
LFU_31481186,spatial_train
LFU_31481901,spatial_train
LFU_31481902,spatial_test
LFU_31481904,spatial_train
LFU_31481905,spatial_train
LFU_31481908,spatial_train
LFU_31481912,spatial_train
LFU_31481914,spatial_train
LFU_31481916,spatial_train
LFU_31481920,spatial_train
LFU_31481921,spatial_train
LFU_31481922,spatial_train
LFU_31481923,spatial_train
LFU_31481924,spatial_test
