id,cluster,spatial_split
LFU_25470023,12,spatial_train
LFU_25470024,12,spatial_holdout
LFU_25480025,9,spatial_train
LFU_25480026,10,spatial_train
LFU_25481088,4,spatial_train
LFU_25496025,0,spatial_holdout
LFU_25500006,0,spatial_train
LFU_25501076,0,spatial_train
LFU_25510027,18,spatial_train
LFU_26381003,16,spatial_holdout
LFU_26390030,16,spatial_train
LFU_26390032,16,spatial_train
LFU_26390040,4,spatial_holdout
LFU_26471092,10,spatial_train
LFU_26471094,10,spatial_train
LFU_26471095,10,spatial_train
LFU_26471096,10,spatial_train
LFU_26471097,10,spatial_train
LFU_26471098,10,spatial_train
LFU_26480022,10,spatial_train
LFU_26486009,4,spatial_train
LFU_26486010,4,spatial_train
LFU_26490028,6,spatial_train
LFU_26490030,18,spatial_train
LFU_26490031,18,spatial_holdout
LFU_26500002,0,spatial_train
LFU_265210100,0,spatial_train
LFU_265210101,0,spatial_train
LFU_27370001,0,spatial_train
LFU_27381002,10,spatial_train
LFU_27381010,14,spatial_train
LFU_27381011,14,spatial_holdout
LFU_27381014,4,spatial_train
LFU_27390101,0,spatial_holdout
LFU_27400050,1,spatial_holdout
LFU_27400058,10,spatial_train
LFU_27400059,10,spatial_train
LFU_27400064,10,spatial_train
LFU_27400070,4,spatial_train
LFU_27400071,4,spatial_train
LFU_27400243,10,spatial_holdout
LFU_27400244,10,spatial_train
LFU_27410202,15,spatial_train
LFU_27410232,16,spatial_holdout
LFU_27410250,10,spatial_holdout
LFU_27440150,15,spatial_train
LFU_27460295,17,spatial_train
LFU_27461019,10,spatial_train
LFU_27471020,10,spatial_train
LFU_27501048,0,spatial_train
LFU_27511009,4,spatial_train
LFU_27511011,10,spatial_train
LFU_27511090,4,spatial_train
LFU_27521005,18,spatial_train
LFU_27521006,18,spatial_train
LFU_27521086,9,spatial_train
LFU_28330005,4,spatial_train
LFU_28340010,18,spatial_train
LFU_28340011,18,spatial_train
LFU_28350010,0,spatial_holdout
LFU_28350020,0,spatial_train
LFU_28350021,0,spatial_train
LFU_28350023,0,spatial_train
LFU_28350024,0,spatial_train
LFU_28350025,0,spatial_train
LFU_28350026,0,spatial_train
LFU_28360020,18,spatial_holdout
LFU_28360022,8,spatial_train
LFU_28370011,10,spatial_train
LFU_28370013,10,spatial_train
LFU_28370014,10,spatial_train
LFU_28370015,0,spatial_train
LFU_28370016,0,spatial_train
LFU_28370020,15,spatial_train
LFU_28390113,0,spatial_train
LFU_28390114,0,spatial_train
LFU_28390115,0,spatial_train
LFU_28390121,4,spatial_train
LFU_28390125,6,spatial_train
LFU_28400205,10,spatial_train
LFU_28400206,0,spatial_train
LFU_28400211,0,spatial_train
LFU_28400223,0,spatial_train
LFU_28400252,0,spatial_holdout
LFU_28400253,0,spatial_train
LFU_28400254,0,spatial_train
LFU_28401031,10,spatial_train
LFU_28401170,1,spatial_train
LFU_28401180,7,spatial_train
LFU_28401181,7,spatial_train
LFU_28401182,7,spatial_train
LFU_28401184,6,spatial_train
LFU_28401185,6,spatial_train
LFU_28410213,15,spatial_train
LFU_28410218,15,spatial_train
LFU_28410220,4,spatial_train
LFU_28410225,0,spatial_train
LFU_28410228,0,spatial_train
LFU_28410230,0,spatial_train
LFU_28410240,10,spatial_train
LFU_28428204,10,spatial_train
LFU_28438014,14,spatial_train
LFU_28438060,15,spatial_holdout
LFU_28438063,10,spatial_train
LFU_28438064,17,spatial_train
LFU_28438066,15,spatial_train
LFU_28438100,15,spatial_holdout
LFU_28438101,17,spatial_train
LFU_28438109,17,spatial_train
LFU_28438120,15,spatial_holdout
LFU_28438121,15,spatial_train
LFU_28438122,15,spatial_train
LFU_28441301,15,spatial_train
LFU_28441303,17,spatial_train
LFU_28443405,10,spatial_train
LFU_28470002,15,spatial_train
LFU_28481093,10,spatial_train
LFU_28500636,18,spatial_train
LFU_28500652,15,spatial_train
LFU_28501101,10,spatial_train
LFU_28501105,18,spatial_train
LFU_28501108,10,spatial_train
LFU_28501111,10,spatial_train
LFU_28510982,15,spatial_train
LFU_28511201,4,spatial_train
LFU_28511204,12,spatial_train
LFU_28511207,1,spatial_train
LFU_28511210,15,spatial_train
LFU_28511229,18,spatial_train
LFU_28511230,1,spatial_train
LFU_28511231,15,spatial_train
LFU_28519035,4,spatial_train
LFU_28521228,15,spatial_train
LFU_28521235,18,spatial_train
LFU_29341721,18,spatial_train
LFU_29341722,18,spatial_train
LFU_29350020,13,spatial_train
LFU_29350021,13,spatial_train
LFU_29360016,4,spatial_train
LFU_29360017,0,spatial_train
LFU_29370007,7,spatial_holdout
LFU_29370009,0,spatial_train
LFU_29370010,4,spatial_train
LFU_29370011,4,spatial_holdout
LFU_29391201,10,spatial_train
LFU_29391202,10,spatial_train
LFU_29391203,10,spatial_train
LFU_29400520,10,spatial_train
LFU_29400544,17,spatial_train
LFU_29400562,16,spatial_train
LFU_29410540,10,spatial_train
LFU_29410630,10,spatial_train
LFU_29410640,4,spatial_train
LFU_29410650,16,spatial_train
LFU_29428205,10,spatial_train
LFU_29428250,0,spatial_train
LFU_29438110,7,spatial_train
LFU_29438430,15,spatial_train
LFU_29438509,15,spatial_train
LFU_29463383,15,spatial_holdout
LFU_29463384,15,spatial_holdout
LFU_29463385,15,spatial_train
LFU_29470010,10,spatial_train
LFU_29472968,15,spatial_train
LFU_29472981,15,spatial_train
LFU_29481334,14,spatial_train
LFU_29481335,14,spatial_train
LFU_29481337,14,spatial_train
LFU_29483281,15,spatial_train
LFU_29484282,1,spatial_train
LFU_29490617,10,spatial_train
LFU_29490630,12,spatial_train
LFU_29490631,12,spatial_train
LFU_29490632,17,spatial_train
LFU_29490633,17,spatial_train
LFU_29490634,17,spatial_train
LFU_29501403,7,spatial_train
LFU_29501404,0,spatial_train
LFU_29501405,0,spatial_holdout
LFU_29510149,15,spatial_train
LFU_29510657,19,spatial_train
LFU_29510999,19,spatial_train
LFU_29519002,19,spatial_train
LFU_29519012,13,spatial_train
LFU_29519013,19,spatial_train
LFU_29519017,13,spatial_holdout
LFU_29519020,2,spatial_train
LFU_29519021,0,spatial_train
LFU_29519023,10,spatial_train
LFU_29519026,4,spatial_train
LFU_29519030,19,spatial_train
LFU_29519040,2,spatial_train
LFU_29519042,1,spatial_train
LFU_29519045,19,spatial_train
LFU_29519047,10,spatial_train
LFU_30360035,18,spatial_holdout
LFU_30360036,18,spatial_train
LFU_30370039,15,spatial_train
LFU_30370040,15,spatial_train
