id,cluster,spatial_split
LFU_25470023,5,spatial_holdout
LFU_25470024,5,spatial_holdout
LFU_25480025,6,spatial_holdout
LFU_25480026,5,spatial_train
LFU_25481088,9,spatial_holdout
LFU_25496025,9,spatial_holdout
LFU_25500006,9,spatial_holdout
LFU_25501076,9,spatial_holdout
LFU_25510027,5,spatial_holdout
LFU_26381003,9,spatial_holdout
LFU_26390030,2,spatial_holdout
LFU_26390032,2,spatial_holdout
LFU_26390040,5,spatial_holdout
LFU_26471092,9,spatial_holdout
LFU_26471094,5,spatial_holdout
LFU_26471095,5,spatial_holdout
LFU_26471096,5,spatial_holdout
LFU_26471097,5,spatial_holdout
LFU_26471098,5,spatial_holdout
LFU_26480022,5,spatial_holdout
LFU_26486009,1,spatial_holdout
LFU_26486010,1,spatial_holdout
LFU_26490028,7,spatial_train
LFU_26490030,5,spatial_holdout
LFU_26490031,5,spatial_holdout
LFU_26500002,9,spatial_holdout
LFU_265210100,9,spatial_holdout
LFU_265210101,9,spatial_holdout
LFU_27370001,9,spatial_holdout
LFU_27381002,5,spatial_holdout
LFU_27381010,0,spatial_holdout
LFU_27381011,0,spatial_train
LFU_27381014,5,spatial_train
LFU_27390101,9,spatial_holdout
LFU_27400050,5,spatial_holdout
LFU_27400058,5,spatial_holdout
LFU_27400059,5,spatial_holdout
LFU_27400064,9,spatial_holdout
LFU_27400070,9,spatial_holdout
LFU_27400071,9,spatial_holdout
LFU_27400243,9,spatial_holdout
LFU_27400244,9,spatial_holdout
LFU_27410202,2,spatial_holdout
LFU_27410232,2,spatial_holdout
LFU_27410250,5,spatial_holdout
LFU_27440150,2,spatial_holdout
LFU_27460295,6,spatial_holdout
LFU_27461019,5,spatial_holdout
LFU_27471020,5,spatial_holdout
LFU_27501048,9,spatial_holdout
LFU_27511009,5,spatial_holdout
LFU_27511011,5,spatial_holdout
LFU_27511090,9,spatial_holdout
LFU_27521005,5,spatial_holdout
LFU_27521006,5,spatial_holdout
LFU_27521086,6,spatial_holdout
LFU_28330005,1,spatial_holdout
LFU_28340010,5,spatial_holdout
LFU_28340011,5,spatial_holdout
LFU_28350010,9,spatial_holdout
LFU_28350020,9,spatial_holdout
LFU_28350021,9,spatial_holdout
LFU_28350023,9,spatial_train
LFU_28350024,9,spatial_holdout
LFU_28350025,9,spatial_train
LFU_28350026,9,spatial_holdout
LFU_28360020,5,spatial_holdout
LFU_28360022,1,spatial_holdout
LFU_28370011,5,spatial_holdout
LFU_28370013,5,spatial_holdout
LFU_28370014,5,spatial_holdout
LFU_28370015,9,spatial_holdout
LFU_28370016,9,spatial_holdout
LFU_28370020,2,spatial_holdout
LFU_28390113,9,spatial_holdout
LFU_28390114,9,spatial_holdout
LFU_28390115,9,spatial_holdout
LFU_28390121,5,spatial_holdout
LFU_28390125,7,spatial_holdout
LFU_28400205,5,spatial_holdout
LFU_28400206,9,spatial_holdout
LFU_28400211,9,spatial_holdout
LFU_28400223,9,spatial_holdout
LFU_28400252,9,spatial_holdout
LFU_28400253,9,spatial_train
LFU_28400254,9,spatial_holdout
LFU_28401031,5,spatial_holdout
LFU_28401170,2,spatial_holdout
LFU_28401180,5,spatial_train
LFU_28401181,5,spatial_holdout
LFU_28401182,5,spatial_holdout
LFU_28401184,7,spatial_holdout
LFU_28401185,7,spatial_train
LFU_28410213,2,spatial_holdout
LFU_28410218,2,spatial_holdout
LFU_28410220,5,spatial_holdout
LFU_28410225,9,spatial_holdout
LFU_28410228,9,spatial_holdout
LFU_28410230,9,spatial_holdout
LFU_28410240,5,spatial_holdout
LFU_28428204,5,spatial_holdout
LFU_28438014,0,spatial_holdout
LFU_28438060,2,spatial_holdout
LFU_28438063,2,spatial_holdout
LFU_28438064,6,spatial_holdout
LFU_28438066,2,spatial_holdout
LFU_28438100,2,spatial_train
LFU_28438101,6,spatial_holdout
LFU_28438109,6,spatial_holdout
LFU_28438120,2,spatial_holdout
LFU_28438121,2,spatial_train
LFU_28438122,2,spatial_holdout
LFU_28441301,2,spatial_holdout
LFU_28441303,6,spatial_holdout
LFU_28443405,2,spatial_holdout
LFU_28470002,2,spatial_train
LFU_28481093,5,spatial_holdout
LFU_28500636,5,spatial_holdout
LFU_28500652,2,spatial_holdout
LFU_28501101,5,spatial_holdout
LFU_28501105,5,spatial_holdout
LFU_28501108,5,spatial_train
LFU_28501111,5,spatial_holdout
LFU_28510982,2,spatial_holdout
LFU_28511201,5,spatial_holdout
LFU_28511204,2,spatial_holdout
LFU_28511207,2,spatial_holdout
LFU_28511210,2,spatial_holdout
LFU_28511229,5,spatial_holdout
LFU_28511230,2,spatial_holdout
LFU_28511231,2,spatial_holdout
LFU_28519035,5,spatial_holdout
LFU_28521228,2,spatial_holdout
LFU_28521235,2,spatial_holdout
LFU_29341721,5,spatial_holdout
LFU_29341722,5,spatial_holdout
LFU_29350020,3,spatial_holdout
LFU_29350021,3,spatial_holdout
LFU_29360016,9,spatial_holdout
LFU_29360017,9,spatial_holdout
LFU_29370007,5,spatial_train
LFU_29370009,9,spatial_holdout
LFU_29370010,5,spatial_holdout
LFU_29370011,5,spatial_holdout
LFU_29391201,2,spatial_holdout
LFU_29391202,2,spatial_holdout
LFU_29391203,2,spatial_holdout
LFU_29400520,5,spatial_train
LFU_29400544,6,spatial_holdout
LFU_29400562,2,spatial_holdout
LFU_29410540,5,spatial_holdout
LFU_29410630,5,spatial_train
LFU_29410640,5,spatial_holdout
LFU_29410650,2,spatial_holdout
LFU_29428205,5,spatial_holdout
LFU_29428250,9,spatial_holdout
LFU_29438110,5,spatial_holdout
LFU_29438430,2,spatial_holdout
LFU_29438509,2,spatial_train
LFU_29463383,2,spatial_holdout
LFU_29463384,2,spatial_holdout
LFU_29463385,2,spatial_holdout
LFU_29470010,5,spatial_holdout
LFU_29472968,2,spatial_holdout
LFU_29472981,2,spatial_holdout
LFU_29481334,0,spatial_holdout
LFU_29481335,0,spatial_holdout
LFU_29481337,0,spatial_holdout
LFU_29483281,2,spatial_holdout
LFU_29484282,2,spatial_holdout
LFU_29490617,9,spatial_holdout
LFU_29490630,5,spatial_holdout
LFU_29490631,5,spatial_holdout
LFU_29490632,6,spatial_holdout
LFU_29490633,6,spatial_holdout
LFU_29490634,6,spatial_holdout
LFU_29501403,5,spatial_holdout
