id,cluster,spatial_split
LFU_25470023,19,spatial_train
LFU_25470024,19,spatial_train
LFU_25480025,13,spatial_train
LFU_25480026,3,spatial_train
LFU_25481088,18,spatial_train
LFU_25496025,18,spatial_train
LFU_25500006,18,spatial_holdout
LFU_25501076,18,spatial_train
LFU_25510027,1,spatial_train
LFU_26381003,16,spatial_train
LFU_26390030,16,spatial_train
LFU_26390032,16,spatial_train
LFU_26390040,3,spatial_train
LFU_26471092,18,spatial_train
LFU_26471094,3,spatial_train
LFU_26471095,3,spatial_train
LFU_26471096,3,spatial_train
LFU_26471097,19,spatial_train
LFU_26471098,19,spatial_train
LFU_26480022,3,spatial_train
LFU_26486009,3,spatial_train
LFU_26486010,3,spatial_train
LFU_26490028,5,spatial_train
LFU_26490030,1,spatial_train
LFU_26490031,1,spatial_train
LFU_26500002,18,spatial_train
LFU_265210100,18,spatial_train
LFU_265210101,18,spatial_train
LFU_27370001,18,spatial_train
LFU_27381002,19,spatial_train
LFU_27381010,17,spatial_train
LFU_27381011,17,spatial_train
LFU_27381014,3,spatial_train
LFU_27390101,18,spatial_train
LFU_27400050,10,spatial_train
LFU_27400058,3,spatial_train
LFU_27400059,19,spatial_train
LFU_27400064,18,spatial_train
LFU_27400070,18,spatial_train
LFU_27400071,18,spatial_train
LFU_27400243,18,spatial_train
LFU_27400244,18,spatial_train
LFU_27410202,7,spatial_train
LFU_27410232,16,spatial_train
LFU_27410250,19,spatial_holdout
LFU_27440150,7,spatial_train
LFU_27460295,8,spatial_holdout
LFU_27461019,19,spatial_train
LFU_27471020,19,spatial_train
LFU_27501048,18,spatial_train
LFU_27511009,3,spatial_train
LFU_27511011,3,spatial_train
LFU_27511090,18,spatial_train
LFU_27521005,1,spatial_train
LFU_27521006,1,spatial_train
LFU_27521086,13,spatial_train
LFU_28330005,1,spatial_train
LFU_28340010,1,spatial_train
LFU_28340011,1,spatial_train
LFU_28350010,0,spatial_train
LFU_28350020,0,spatial_train
LFU_28350021,0,spatial_train
LFU_28350023,0,spatial_train
LFU_28350024,0,spatial_train
LFU_28350025,0,spatial_train
LFU_28350026,0,spatial_train
LFU_28360020,19,spatial_train
LFU_28360022,6,spatial_train
LFU_28370011,19,spatial_train
LFU_28370013,19,spatial_train
LFU_28370014,19,spatial_train
LFU_28370015,18,spatial_train
LFU_28370016,18,spatial_train
LFU_28370020,0,spatial_train
LFU_28390113,18,spatial_holdout
LFU_28390114,18,spatial_train
LFU_28390115,18,spatial_train
LFU_28390121,3,spatial_train
LFU_28390125,5,spatial_train
LFU_28400205,3,spatial_train
LFU_28400206,18,spatial_train
LFU_28400211,0,spatial_train
LFU_28400223,0,spatial_train
LFU_28400252,0,spatial_train
LFU_28400253,0,spatial_train
LFU_28400254,18,spatial_train
LFU_28401031,19,spatial_train
LFU_28401170,10,spatial_train
LFU_28401180,14,spatial_holdout
LFU_28401181,14,spatial_train
LFU_28401182,14,spatial_train
LFU_28401184,5,spatial_holdout
LFU_28401185,5,spatial_train
LFU_28410213,7,spatial_train
LFU_28410218,7,spatial_train
LFU_28410220,3,spatial_train
LFU_28410225,0,spatial_train
LFU_28410228,0,spatial_train
LFU_28410230,0,spatial_train
LFU_28410240,19,spatial_train
LFU_28428204,19,spatial_train
LFU_28438014,17,spatial_train
LFU_28438060,7,spatial_train
LFU_28438063,19,spatial_train
LFU_28438064,8,spatial_train
LFU_28438066,7,spatial_holdout
LFU_28438100,7,spatial_train
LFU_28438101,8,spatial_train
LFU_28438109,8,spatial_train
LFU_28438120,7,spatial_train
LFU_28438121,7,spatial_holdout
LFU_28438122,7,spatial_train
LFU_28441301,19,spatial_train
LFU_28441303,8,spatial_train
LFU_28443405,19,spatial_train
LFU_28470002,19,spatial_holdout
LFU_28481093,19,spatial_train
LFU_28500636,1,spatial_train
LFU_28500652,0,spatial_train
LFU_28501101,3,spatial_train
LFU_28501105,1,spatial_train
LFU_28501108,3,spatial_train
LFU_28501111,3,spatial_train
LFU_28510982,7,spatial_train
LFU_28511201,3,spatial_train
LFU_28511204,7,spatial_train
LFU_28511207,10,spatial_holdout
LFU_28511210,7,spatial_train
LFU_28511229,1,spatial_holdout
LFU_28511230,10,spatial_train
LFU_28511231,7,spatial_train
LFU_28519035,3,spatial_train
LFU_28521228,7,spatial_train
LFU_28521235,1,spatial_train
LFU_29341721,1,spatial_train
LFU_29341722,1,spatial_train
LFU_29350020,11,spatial_train
LFU_29350021,11,spatial_train
LFU_29360016,18,spatial_train
LFU_29360017,18,spatial_train
LFU_29370007,14,spatial_train
LFU_29370009,18,spatial_train
LFU_29370010,3,spatial_holdout
LFU_29370011,3,spatial_train
LFU_29391201,19,spatial_train
LFU_29391202,19,spatial_train
LFU_29391203,19,spatial_train
LFU_29400520,19,spatial_train
LFU_29400544,8,spatial_train
LFU_29400562,7,spatial_train
LFU_29410540,19,spatial_train
LFU_29410630,19,spatial_train
LFU_29410640,3,spatial_holdout
LFU_29410650,16,spatial_train
LFU_29428205,19,spatial_train
LFU_29428250,0,spatial_train
LFU_29438110,19,spatial_train
LFU_29438430,0,spatial_train
LFU_29438509,7,spatial_train
LFU_29463383,7,spatial_holdout
LFU_29463384,7,spatial_train
LFU_29463385,7,spatial_train
LFU_29470010,19,spatial_train
LFU_29472968,7,spatial_train
LFU_29472981,7,spatial_train
LFU_29481334,17,spatial_train
LFU_29481335,17,spatial_train
LFU_29481337,17,spatial_train
LFU_29483281,7,spatial_train
LFU_29484282,10,spatial_train
LFU_29490617,19,spatial_train
LFU_29490630,19,spatial_train
LFU_29490631,19,spatial_train
LFU_29490632,8,spatial_holdout
LFU_29490633,8,spatial_train
LFU_29490634,8,spatial_train
LFU_29501403,14,spatial_train
LFU_29501404,18,spatial_train
LFU_29501405,18,spatial_train
LFU_29510149,7,spatial_train
LFU_29510657,12,spatial_train
LFU_29510999,12,spatial_train
LFU_29519002,12,spatial_train
LFU_29519012,11,spatial_train
LFU_29519013,12,spatial_train
LFU_29519017,11,spatial_train
LFU_29519020,9,spatial_train
LFU_29519021,18,spatial_holdout
LFU_29519023,19,spatial_train
LFU_29519026,3,spatial_train
LFU_29519030,12,spatial_holdout
LFU_29519040,9,spatial_train
LFU_29519042,10,spatial_train
LFU_29519045,9,spatial_train
LFU_29519047,19,spatial_train
LFU_30360035,1,spatial_train
LFU_30360036,1,spatial_train
LFU_30370039,7,spatial_train
LFU_30370040,7,spatial_train
LFU_30370046,1,spatial_train
LFU_30370047,7,spatial_train
LFU_30370048,7,spatial_holdout
LFU_30370060,1,spatial_train
LFU_30380005,0,spatial_train
LFU_30390001,3,spatial_train
LFU_30390010,18,spatial_train
LFU_30400558,8,spatial_train
LFU_30400566,8,spatial_train
LFU_30400574,7,spatial_train
LFU_30400580,8,spatial_train
LFU_30400591,8,spatial_train
LFU_30401381,5,spatial_train
LFU_30401382,6,spatial_train
LFU_30401383,5,spatial_train
LFU_30410700,6,spatial_train
LFU_30410900,6,spatial_holdout
LFU_30429033,10,spatial_train
LFU_30429034,10,spatial_train
LFU_30429043,10,spatial_train
LFU_30429044,10,spatial_train
LFU_30429045,10,spatial_train
LFU_30429065,16,spatial_train
LFU_30429066,16,spatial_train
LFU_30429067,16,spatial_train
LFU_30429068,16,spatial_train
LFU_30429666,12,spatial_train
LFU_30429700,18,spatial_train
LFU_30429701,18,spatial_train
LFU_30429750,5,spatial_train
LFU_30438393,19,spatial_train
LFU_30438394,19,spatial_train
LFU_30438395,19,spatial_holdout
LFU_30438402,8,spatial_train
LFU_30438404,8,spatial_train
LFU_30438511,8,spatial_train
LFU_30448600,18,spatial_train
LFU_30453790,14,spatial_train
LFU_30460968,0,spatial_train
LFU_30460969,0,spatial_holdout
LFU_30461768,7,spatial_train
LFU_30463568,10,spatial_train
LFU_30463569,10,spatial_train
LFU_30470030,19,spatial_train
LFU_30470031,19,spatial_train
LFU_30470368,7,spatial_train
LFU_30470369,7,spatial_train
LFU_30471179,0,spatial_train
LFU_30472268,7,spatial_train
LFU_30473068,0,spatial_train
LFU_30476001,0,spatial_train
LFU_30476003,0,spatial_train
LFU_30480881,7,spatial_train
LFU_30481528,7,spatial_train
LFU_30481529,7,spatial_train
LFU_30491504,13,spatial_train
LFU_30491509,8,spatial_train
LFU_30491510,8,spatial_train
LFU_30491511,8,spatial_holdout
LFU_30491512,8,spatial_train
LFU_30491513,13,spatial_train
LFU_30491514,13,spatial_train
LFU_30491527,19,spatial_train
LFU_30491532,18,spatial_train
LFU_30491533,18,spatial_train
LFU_30500621,19,spatial_train
LFU_30509090,1,spatial_train
LFU_30509092,1,spatial_holdout
LFU_31391523,3,spatial_train
LFU_31391541,1,spatial_train
LFU_31391622,3,spatial_train
LFU_31391801,17,spatial_train
